datetime_gps,dR_m,dT_m,dN_m,d3_m
2024-01-10T00:00:28.999000,-4.88818,-3.93539,-0.73691,6.31860
2024-01-10T00:00:29.999000,-4.84053,-3.51619,-0.85946,6.04425
2024-01-10T00:00:30.999000,-2.83333,-3.20828,-0.02112,4.28033
2024-01-10T00:00:31.999000,-5.63787,-2.89293,-0.25138,6.34175
2024-01-10T00:00:32.999000,-4.03718,-3.78566,0.69389,5.57777
2024-01-10T00:00:33.999000,-2.99285,-3.65525,0.24676,4.73064
2024-01-10T00:00:34.999000,-5.06714,-2.82870,0.42143,5.81851
2024-01-10T00:00:35.999000,-3.57437,-2.78745,0.26828,4.54070
2024-01-10T00:00:36.999000,-3.39496,-3.17046,-0.10161,4.64628
2024-01-10T00:00:37.999000,-5.11423,-3.70880,0.02916,6.31754
2024-01-10T00:00:38.999000,-3.92981,-4.17016,-1.10922,5.83643
2024-01-10T00:00:39.999000,-4.70848,-2.19589,-0.65229,5.23614
2024-01-10T00:00:40.999000,-4.20152,-2.71992,-0.40637,5.02154
2024-01-10T00:00:41.999000,-4.83884,-1.98720,0.54328,5.25913
2024-01-10T00:00:42.999000,-3.01625,-3.28109,-0.82549,4.53263
2024-01-10T00:00:43.999000,-3.02549,-4.45619,-0.94946,5.46925
2024-01-10T00:00:44.999000,-5.19905,-2.31746,0.06799,5.69257
2024-01-10T00:00:45.999000,-2.59820,-3.96966,0.21913,4.74940
2024-01-10T00:00:46.999000,-3.16469,-3.24684,-0.47597,4.55893
2024-01-10T00:00:47.999000,-2.96522,-2.83698,-0.61573,4.14971
2024-01-10T00:00:48.999000,-3.92104,-2.04230,-0.04626,4.42127
2024-01-10T00:00:49.999000,-5.39422,-2.31830,0.97060,5.95098
2024-01-10T00:00:50.999000,-4.51218,-3.45336,-0.34394,5.69242
2024-01-10T00:00:51.999000,-4.95052,-3.28389,0.15078,5.94259
2024-01-10T00:00:52.999000,-6.08149,-3.27189,-0.67819,6.93900
2024-01-10T00:00:53.999000,-3.22114,-3.18650,-0.27464,4.53927
2024-01-10T00:00:54.999000,-4.54550,-2.27250,-0.46276,5.10293
2024-01-10T00:00:55.999000,-2.28784,-2.62068,-0.31357,3.49292
2024-01-10T00:00:56.999000,-2.05150,-2.74746,-0.60628,3.48206
2024-01-10T00:00:57.999000,-3.16394,-3.50218,0.26897,4.72738
2024-01-10T00:00:58.999000,-3.34976,-3.14292,-0.05717,4.59370
2024-01-10T00:00:59.999000,-3.99136,-2.51739,0.26508,4.72635
2024-01-10T00:01:00.999000,-2.81861,-3.17977,-0.56700,4.28684
2024-01-10T00:01:01.999000,-1.67433,-2.83036,-0.05659,3.28899
2024-01-10T00:01:02.999000,-5.21438,-3.90988,0.04730,6.51760
2024-01-10T00:01:03.999000,-3.48253,-2.61337,0.20930,4.35907
2024-01-10T00:01:04.999000,-4.24735,-3.55245,-1.10685,5.64668
2024-01-10T00:01:05.999000,-4.86469,-3.37047,-0.15745,5.92031
2024-01-10T00:01:06.999000,-4.03889,-2.81516,0.01381,4.92320
2024-01-10T00:01:07.999000,-3.26798,-3.79192,-0.38448,5.02058
2024-01-10T00:01:08.999000,-5.93113,-3.34369,0.27519,6.81427
2024-01-10T00:01:09.999000,-4.37305,-2.87126,-0.63637,5.26998
2024-01-10T00:01:10.999000,-3.26650,-3.29362,-1.10536,4.76862
2024-01-10T00:01:11.999000,-3.04374,-2.55554,-0.71598,4.03829
2024-01-10T00:01:12.999000,-2.57936,-3.86101,-0.38087,4.65892
2024-01-10T00:01:13.999000,-5.24839,-1.68465,-0.01331,5.51215
2024-01-10T00:01:14.999000,-4.58411,-2.93753,-0.11887,5.44585
2024-01-10T00:01:15.999000,-5.67592,-3.35526,-0.63294,6.62378
2024-01-10T00:01:16.999000,-3.57368,-3.64697,-0.79409,5.16741
2024-01-10T00:01:17.999000,-6.64793,-3.18733,-0.00774,7.37253
2024-01-10T00:01:18.999000,-5.33928,-3.05503,-0.51159,6.17275
2024-01-10T00:01:19.999000,-4.10892,-2.25953,0.37619,4.70428
2024-01-10T00:01:20.999000,-4.01234,-2.77888,-0.62505,4.92054
2024-01-10T00:01:21.999000,-5.37915,-3.57361,-0.15351,6.45984
2024-01-10T00:01:22.999000,-4.61581,-3.28105,-0.43063,5.67948
2024-01-10T00:01:23.999000,-2.73811,-3.54372,-0.44696,4.50055
2024-01-10T00:01:24.999000,-3.17939,-2.56897,-0.45223,4.11250
2024-01-10T00:01:25.999000,-4.38762,-3.05189,-0.63474,5.38221
2024-01-10T00:01:26.999000,-3.76311,-3.71185,-0.59722,5.31935
2024-01-10T00:01:27.999000,-3.78165,-3.58618,-0.62605,5.24914
2024-01-10T00:01:28.999000,-4.16388,-3.81506,-0.76564,5.69902
2024-01-10T00:01:29.999000,-5.18555,-3.62820,-0.03759,6.32892
2024-01-10T00:01:30.999000,-5.58912,-3.98655,-0.24846,6.86968
2024-01-10T00:01:31.999000,-4.94042,-3.09090,-0.22005,5.83180
2024-01-10T00:01:32.999000,-3.52561,-2.69391,-0.35565,4.45125
2024-01-10T00:01:33.999000,-1.87754,-3.84202,-1.01298,4.39459
2024-01-10T00:01:34.999000,-4.55914,-3.05482,-1.06446,5.59024
2024-01-10T00:01:35.999000,-5.19823,-3.69078,-0.38183,6.38664
2024-01-10T00:01:36.999000,-4.91182,-2.33042,0.49962,5.45953
2024-01-10T00:01:37.999000,-2.90901,-4.21887,-0.55254,5.15427
2024-01-10T00:01:38.999000,-3.39553,-4.22592,-0.21548,5.42535
2024-01-10T00:01:39.999000,-2.44717,-3.23843,-0.05245,4.05941
2024-01-10T00:01:40.999000,-5.02836,-2.99587,-0.21921,5.85728
2024-01-10T00:01:41.999000,-3.14851,-4.12396,-0.20916,5.19268
2024-01-10T00:01:42.999000,-5.69944,-2.55751,0.16773,6.24921
2024-01-10T00:01:43.999000,-3.77275,-3.55777,-0.18779,5.18909
2024-01-10T00:01:44.999000,-3.66657,-2.86308,-0.00163,4.65198
2024-01-10T00:01:45.999000,-5.51376,-3.49471,-0.00329,6.52798
2024-01-10T00:01:46.999000,-4.79518,-3.06050,0.00970,5.68863
2024-01-10T00:01:47.999000,-4.04348,-3.06515,0.18422,5.07729
2024-01-10T00:01:48.999000,-4.70583,-4.29014,-0.31969,6.37592
2024-01-10T00:01:49.999000,-5.70390,-3.32138,-0.39833,6.61247
2024-01-10T00:01:50.999000,-3.00521,-4.34749,-0.90726,5.36237
2024-01-10T00:01:51.999000,-3.21421,-3.49506,0.38685,4.76405
2024-01-10T00:01:52.999000,-3.34009,-4.29205,-0.34231,5.44932
2024-01-10T00:01:53.999000,-1.90544,-3.28544,-1.40549,4.04972
2024-01-10T00:01:54.999000,-2.61773,-2.93873,-0.49706,3.96683
2024-01-10T00:01:55.999000,-1.43502,-2.79505,-0.62608,3.20368
2024-01-10T00:01:56.999000,-3.43982,-2.88232,-0.16598,4.49084
2024-01-10T00:01:57.999000,-3.26509,-3.70987,-0.34303,4.95395
2024-01-10T00:01:58.999000,-3.91978,-4.15399,-0.68299,5.75211
2024-01-10T00:01:59.999000,-3.98886,-3.52231,-0.46077,5.34135
2024-01-10T00:02:00.999000,-3.88110,-2.66051,0.01980,4.70549
2024-01-10T00:02:01.999000,-5.64143,-2.50176,0.63596,6.20395
2024-01-10T00:02:02.999000,-4.25167,-3.12159,-0.43520,5.29249
2024-01-10T00:02:03.999000,-3.14328,-3.30590,-0.40185,4.57937
2024-01-10T00:02:04.999000,-5.26013,-3.64821,0.91995,6.46720
2024-01-10T00:02:05.999000,-4.49079,-3.50536,0.41436,5.71196
2024-01-10T00:02:06.999000,-4.13566,-3.77060,-1.34592,5.75609
2024-01-10T00:02:07.999000,-5.69514,-2.94640,-0.32904,6.42060
2024-01-10T00:02:08.999000,-3.44824,-3.22027,0.47682,4.74214
2024-01-10T00:02:09.999000,-4.84426,-2.96998,0.11240,5.68333
2024-01-10T00:02:10.999000,-3.65763,-2.52894,-0.13282,4.44875
2024-01-10T00:02:11.999000,-5.20489,-3.55975,-0.09835,6.30654
2024-01-10T00:02:12.999000,-2.95225,-2.99013,-0.26052,4.21005
2024-01-10T00:02:13.999000,-5.09617,-2.82517,-0.11524,5.82802
2024-01-10T00:02:14.999000,-5.53737,-3.89885,-0.60175,6.79895
2024-01-10T00:02:15.999000,-4.80566,-3.72975,-0.18974,6.08616
2024-01-10T00:02:16.999000,-3.33425,-3.38743,0.15717,4.75570
2024-01-10T00:02:17.999000,-5.29615,-2.78093,-0.16517,5.98415
2024-01-10T00:02:18.999000,-4.71838,-3.46177,-0.38558,5.86478
2024-01-10T00:02:19.999000,-5.50683,-3.52619,-0.28369,6.54520
2024-01-10T00:02:20.999000,-5.80959,-4.08837,-0.21208,7.10711
2024-01-10T00:02:21.999000,-4.72792,-3.11695,0.28866,5.67027
2024-01-10T00:02:22.999000,-4.84413,-2.76901,-0.30530,5.58804
2024-01-10T00:02:23.999000,-6.97602,-3.01613,0.22042,7.60332
2024-01-10T00:02:24.999000,-4.65040,-3.65009,-0.48910,5.93200
2024-01-10T00:02:25.999000,-6.09533,-4.42668,-0.71711,7.56722
2024-01-10T00:02:26.999000,-4.56353,-3.13233,0.12022,5.53640
2024-01-10T00:02:27.999000,-3.52087,-2.85634,-0.25210,4.54079
2024-01-10T00:02:28.999000,-3.93748,-3.89603,-0.65885,5.57826
2024-01-10T00:02:29.999000,-3.66269,-4.25521,-0.69312,5.65708
2024-01-10T00:02:30.999000,-4.25939,-3.97515,-0.19727,5.82950
2024-01-10T00:02:31.999000,-4.27109,-3.05738,-0.18573,5.25588
2024-01-10T00:02:32.999000,-3.83156,-3.39591,-0.59572,5.15441
2024-01-10T00:02:33.999000,-5.13021,-3.38402,-0.69932,6.18544
2024-01-10T00:02:34.999000,-3.53650,-4.76497,-0.09030,5.93463
2024-01-10T00:02:35.999000,-2.98711,-4.36382,-0.75462,5.34183
2024-01-10T00:02:36.999000,-3.68264,-3.47117,0.34666,5.07258
2024-01-10T00:02:37.999000,-2.93122,-3.36164,-0.08573,4.46095
2024-01-10T00:02:38.999000,-3.56085,-3.45733,-0.32259,4.97362
2024-01-10T00:02:39.999000,-4.52909,-3.42528,-0.30094,5.68646
2024-01-10T00:02:40.999000,-5.82675,-2.99238,0.41895,6.56360
2024-01-10T00:02:41.999000,-2.96993,-3.01349,-0.37784,4.24787
2024-01-10T00:02:42.999000,-6.28110,-3.40532,-0.04867,7.14498
2024-01-10T00:02:43.999000,-3.61538,-4.36329,-0.29738,5.67430
2024-01-10T00:02:44.999000,-3.37248,-3.02926,0.07768,4.53388
2024-01-10T00:02:45.999000,-3.44362,-4.55796,-0.54761,5.73876
2024-01-10T00:02:46.999000,-2.88152,-3.64481,-0.19959,4.65055
2024-01-10T00:02:47.999000,-5.11661,-2.28762,1.02390,5.69748
2024-01-10T00:02:48.999000,-4.15322,-3.30439,-0.71695,5.35558
2024-01-10T00:02:49.999000,-4.08882,-3.82604,-0.88230,5.66882
2024-01-10T00:02:50.999000,-3.67880,-2.41573,0.01735,4.40109
2024-01-10T00:02:51.999000,-5.97018,-3.06551,-0.14314,6.71274
2024-01-10T00:02:52.999000,-3.99800,-3.89254,-0.17796,5.58279
2024-01-10T00:02:53.999000,-5.30391,-3.30183,-0.02651,6.24774
2024-01-10T00:02:54.999000,-3.64413,-3.24446,0.13224,4.88096
2024-01-10T00:02:55.999000,-2.69379,-4.04426,0.37141,4.87345
2024-01-10T00:02:56.999000,-3.55762,-3.39423,-0.47802,4.94024
2024-01-10T00:02:57.999000,-4.94542,-3.36341,-0.21107,5.98450
2024-01-10T00:02:58.999000,-3.88563,-3.46411,-0.50207,5.22975
2024-01-10T00:02:59.999000,-5.08591,-4.17642,-0.62946,6.61099
2024-01-10T00:03:00.999000,-1.80361,-3.91640,-0.51643,4.34257
2024-01-10T00:03:01.999000,-4.63552,-3.53193,-0.56866,5.85542
2024-01-10T00:03:02.999000,-5.51758,-4.24502,0.03929,6.96171
2024-01-10T00:03:03.999000,-4.28592,-3.55201,-0.20780,5.57038
2024-01-10T00:03:04.999000,-3.97709,-2.80541,-0.24780,4.87329
2024-01-10T00:03:05.999000,-4.27021,-3.56950,-0.07138,5.56606
2024-01-10T00:03:06.999000,-2.97168,-3.04104,-0.25562,4.25959
2024-01-10T00:03:07.999000,-4.59324,-2.62977,0.61932,5.32890
2024-01-10T00:03:08.999000,-4.38790,-3.37227,-0.40817,5.54910
2024-01-10T00:03:09.999000,-3.60365,-4.57761,0.03674,5.82599
2024-01-10T00:03:10.999000,-4.89931,-3.27671,-0.40768,5.90815
2024-01-10T00:03:11.999000,-3.47698,-4.06864,-0.85792,5.42026
2024-01-10T00:03:12.999000,-1.97352,-3.95411,-0.60853,4.46095
2024-01-10T00:03:13.999000,-5.02407,-3.14258,0.80930,5.98098
2024-01-10T00:03:14.999000,-5.21543,-3.38994,0.47654,6.23855
