datetime_gps,dR_m,dT_m,dN_m,d3_m
2024-01-09T23:59:42.500000,-3076.77071,-71880.36206,12323.08225,72993.91293
2024-01-09T23:59:43.500000,-3076.50547,-71877.42134,12320.46155,72990.56348
2024-01-09T23:59:44.500000,-3076.23716,-71874.47569,12317.82872,72987.20706
2024-01-09T23:59:45.500000,-3075.96576,-71871.52512,12315.18375,72983.84369
2024-01-09T23:59:46.500000,-3075.69130,-71868.56963,12312.52662,72980.47334
2024-01-09T23:59:47.500000,-3075.41375,-71865.60922,12309.85734,72977.09604
2024-01-09T23:59:48.500000,-3075.13313,-71862.64389,12307.17590,72973.71176
2024-01-09T23:59:49.500000,-3074.84943,-71859.67363,12304.48228,72970.32053
2024-01-09T23:59:50.500000,-3074.56265,-71856.69844,12301.77658,72966.92232
2024-01-09T23:59:51.500000,-3074.27278,-71853.71834,12299.05858,72963.51715
2024-01-09T23:59:52.500000,-3073.97986,-71850.73333,12296.32838,72960.10501
2024-01-09T23:59:53.500000,-3073.68388,-71847.74340,12293.58596,72956.68591
2024-01-09T23:59:54.500000,-3073.38487,-71844.74855,12290.83133,72953.25986
2024-01-09T23:59:55.500000,-3073.08282,-71841.74879,12288.06448,72949.82684
2024-01-09T23:59:56.500000,-3072.77775,-71838.74412,12285.28540,72946.38687
2024-01-09T23:59:57.500000,-3072.46967,-71835.73453,12282.49409,72942.93993
2024-01-09T23:59:58.500000,-3072.15858,-71832.72002,12279.69055,72939.48604
2024-01-09T23:59:59.500000,-3071.84450,-71829.70060,12276.87477,72936.02520
2024-01-10T00:00:00.500000,-3071.52745,-71826.67627,12274.04675,72932.55740
2024-01-10T00:00:01.500000,-3071.20743,-71823.64703,12271.20651,72929.08265
2024-01-10T00:00:02.500000,-3070.88442,-71820.61285,12268.35402,72925.60093
2024-01-10T00:00:03.500000,-3070.55844,-71817.57374,12265.48931,72922.11225
2024-01-10T00:00:04.500000,-3070.22947,-71814.52968,12262.61235,72918.61658
2024-01-10T00:00:05.500000,-3069.89753,-71811.48067,12259.72317,72915.11393
2024-01-10T00:00:06.500000,-3069.56259,-71808.42671,12256.82175,72911.60429
2024-01-10T00:00:07.500000,-3069.22468,-71805.36778,12253.90811,72908.08766
2024-01-10T00:00:08.500000,-3068.88378,-71802.30389,12250.98224,72904.56404
2024-01-10T00:00:09.500000,-3068.53989,-71799.23502,12248.04414,72901.03341
2024-01-10T00:00:10.500000,-3068.19300,-71796.16117,12245.09375,72897.49576
2024-01-10T00:00:11.500000,-3067.84311,-71793.08231,12242.13122,72893.95110
2024-01-10T00:00:12.500000,-3067.49024,-71789.99848,12239.15646,72890.39943
2024-01-10T00:00:13.500000,-3067.13439,-71786.90966,12236.16949,72886.84076
2024-01-10T00:00:14.500000,-3066.77557,-71783.81587,12233.17030,72883.27509
2024-01-10T00:00:15.500000,-3066.41377,-71780.71710,12230.15888,72879.70243
2024-01-10T00:00:16.500000,-3066.04901,-71777.61336,12227.13523,72876.12279
2024-01-10T00:00:17.500000,-3065.68129,-71774.50466,12224.09934,72872.53615
2024-01-10T00:00:18.500000,-3065.31061,-71771.39098,12221.05122,72868.94253
2024-01-10T00:00:19.500000,-3064.93699,-71768.27235,12217.99085,72865.34194
2024-01-10T00:00:20.500000,-3064.56044,-71765.14877,12214.91825,72861.73438
2024-01-10T00:00:21.500000,-3064.18095,-71762.02025,12211.83336,72858.11986
2024-01-10T00:00:22.500000,-3063.79854,-71758.88676,12208.73620,72854.49835
2024-01-10T00:00:23.500000,-3063.41320,-71755.74831,12205.62677,72850.86987
2024-01-10T00:00:24.500000,-3063.02493,-71752.60488,12202.50505,72847.23439
2024-01-10T00:00:25.500000,-3062.63375,-71749.45648,12199.37103,72843.59193
2024-01-10T00:00:26.500000,-3062.23966,-71746.30310,12196.22472,72839.94246
2024-01-10T00:00:27.500000,-3061.84265,-71743.14473,12193.06610,72836.28600
2024-01-10T00:00:28.500000,-3061.44275,-71739.98138,12189.89516,72832.62253
2024-01-10T00:00:29.500000,-3061.03994,-71736.81303,12186.71191,72828.95205
2024-01-10T00:00:30.500000,-3060.63423,-71733.63964,12183.51646,72825.27454
2024-01-10T00:00:31.500000,-3060.22562,-71730.46127,12180.30854,72821.59000
2024-01-10T00:00:32.500000,-3059.81413,-71727.27789,12177.08828,72817.89845
2024-01-10T00:00:33.500000,-3059.39976,-71724.08951,12173.85568,72814.19989
2024-01-10T00:00:34.500000,-3058.98251,-71720.89614,12170.61074,72810.49432
2024-01-10T00:00:35.500000,-3058.56239,-71717.69777,12167.35347,72806.78174
2024-01-10T00:00:36.500000,-3058.13940,-71714.49439,12164.08387,72803.06215
2024-01-10T00:00:37.500000,-3057.71355,-71711.28602,12160.80194,72799.33557
2024-01-10T00:00:38.500000,-3057.28485,-71708.07265,12157.50770,72795.60198
2024-01-10T00:00:39.500000,-3056.85329,-71704.85428,12154.20114,72791.86139
2024-01-10T00:00:40.500000,-3056.41889,-71701.63096,12150.88204,72788.11382
2024-01-10T00:00:41.500000,-3055.98165,-71698.40261,12147.55092,72784.35926
2024-01-10T00:00:42.500000,-3055.54157,-71695.16924,12144.20752,72780.59771
2024-01-10T00:00:43.500000,-3055.09865,-71691.93087,12140.85184,72776.82916
2024-01-10T00:00:44.500000,-3054.65289,-71688.68748,12137.48388,72773.05361
2024-01-10T00:00:45.500000,-3054.20431,-71685.43908,12134.10364,72769.27106
2024-01-10T00:00:46.500000,-3053.75289,-71682.18565,12130.71110,72765.48150
2024-01-10T00:00:47.500000,-3053.29864,-71678.92721,12127.30627,72761.68494
2024-01-10T00:00:48.500000,-3052.84158,-71675.66374,12123.88914,72757.88138
2024-01-10T00:00:49.500000,-3052.38168,-71672.39525,12120.45969,72754.07080
2024-01-10T00:00:50.500000,-3051.91897,-71669.12168,12117.01815,72750.25320
2024-01-10T00:00:51.500000,-3051.45344,-71665.84313,12113.56399,72746.42859
2024-01-10T00:00:52.500000,-3050.98509,-71662.55955,12110.09747,72742.59696
2024-01-10T00:00:53.500000,-3050.51394,-71659.27096,12106.61858,72738.75833
2024-01-10T00:00:54.500000,-3050.03998,-71655.97734,12103.12730,72734.91268
2024-01-10T00:00:55.500000,-3049.56323,-71652.67870,12099.62365,72731.06003
2024-01-10T00:00:56.500000,-3049.08367,-71649.37504,12096.10762,72727.20038
2024-01-10T00:00:57.500000,-3048.60133,-71646.06637,12092.57919,72723.33372
2024-01-10T00:00:58.500000,-3048.11620,-71642.75267,12089.03838,72719.46006
2024-01-10T00:00:59.500000,-3047.62828,-71639.43395,12085.48519,72715.57940
2024-01-10T00:01:00.500000,-3047.13759,-71636.11025,12081.91944,72711.69175
2024-01-10T00:01:01.500000,-3046.64413,-71632.78150,12078.34151,72707.79710
2024-01-10T00:01:02.500000,-3046.14791,-71629.44772,12074.75122,72703.89546
2024-01-10T00:01:03.500000,-3045.64893,-71626.10891,12071.14855,72699.98682
2024-01-10T00:01:04.500000,-3045.14720,-71622.76507,12067.53353,72696.07117
2024-01-10T00:01:05.500000,-3044.64272,-71619.41620,12063.90613,72692.14852
2024-01-10T00:01:06.500000,-3044.13551,-71616.06229,12060.26636,72688.21887
2024-01-10T00:01:07.500000,-3043.62556,-71612.70333,12056.61422,72684.28222
2024-01-10T00:01:08.500000,-3043.11289,-71609.33934,12052.94970,72680.33856
2024-01-10T00:01:09.500000,-3042.59750,-71605.97030,12049.27280,72676.38790
2024-01-10T00:01:10.500000,-3042.07939,-71602.59619,12045.58365,72672.43022
2024-01-10T00:01:11.500000,-3041.55858,-71599.21705,12041.88196,72668.46553
2024-01-10T00:01:12.500000,-3041.03506,-71595.83287,12038.16786,72664.49383
2024-01-10T00:01:13.500000,-3040.50884,-71592.44364,12034.44137,72660.51514
2024-01-10T00:01:14.500000,-3039.97991,-71589.04937,12030.70246,72656.52944
2024-01-10T00:01:15.500000,-3039.44828,-71585.65006,12026.95116,72652.53674
2024-01-10T00:01:16.500000,-3038.91394,-71582.24571,12023.18744,72648.53704
2024-01-10T00:01:17.500000,-3038.37692,-71578.83631,12019.41133,72644.53035
2024-01-10T00:01:18.500000,-3037.83719,-71575.42186,12015.62280,72640.51666
2024-01-10T00:01:19.500000,-3037.29478,-71572.00238,12011.82187,72636.49598
