datetime_gps,dR_m,dT_m,dN_m,d3_m
2024-01-10T00:00:29.999000,-5.20576,-0.86628,-1.34673,5.44647
2024-01-10T00:00:30.999000,-3.15382,-0.85578,-0.33148,3.28464
2024-01-10T00:00:31.999000,-4.34300,0.59497,-1.49510,4.63152
2024-01-10T00:00:32.999000,-4.76782,-2.63456,0.35920,5.45913
2024-01-10T00:00:33.999000,-6.17867,-2.88394,-0.42985,6.83212
2024-01-10T00:00:34.999000,-5.11952,-4.53231,1.07405,6.92134
2024-01-10T00:00:35.999000,-4.90515,-0.97549,-0.22427,5.00623
2024-01-10T00:00:36.999000,-4.62405,-0.61295,0.14878,4.66687
2024-01-10T00:00:37.999000,-5.69609,-1.81926,0.09474,5.98031
2024-01-10T00:00:38.999000,-3.78257,-1.49000,-0.02689,4.06554
2024-01-10T00:00:39.999000,-2.25690,0.08632,-1.02474,2.48015
2024-01-10T00:00:40.999000,-5.53122,-1.55670,-0.40393,5.76029
2024-01-10T00:00:41.999000,-3.01007,-0.18463,-1.66995,3.44722
2024-01-10T00:00:42.999000,-3.47699,-2.07037,0.07663,4.04744
2024-01-10T00:00:43.999000,-2.64728,-0.33215,-1.69039,3.15845
2024-01-10T00:00:44.999000,-6.73911,-2.66483,0.46930,7.26204
2024-01-10T00:00:45.999000,-2.84455,-3.65736,0.01785,4.63337
2024-01-10T00:00:46.999000,-4.47617,-2.19879,-0.32367,4.99755
2024-01-10T00:00:47.999000,-5.07526,-1.59610,-1.61260,5.55934
2024-01-10T00:00:48.999000,-3.49123,-1.49770,-0.20025,3.80419
2024-01-10T00:00:49.999000,-3.58672,-2.69389,0.55912,4.52042
2024-01-10T00:00:50.999000,-2.82662,-2.51646,-0.71374,3.85120
2024-01-10T00:00:51.999000,-3.62152,-1.98913,-0.14344,4.13432
2024-01-10T00:00:52.999000,-4.21073,-4.21432,1.97141,6.27512
2024-01-10T00:00:53.999000,-5.33508,-1.56237,-0.12540,5.56056
2024-01-10T00:00:54.999000,-5.83007,-3.09103,0.69515,6.63532
2024-01-10T00:00:55.999000,-7.72677,-1.66807,0.37740,7.91378
2024-01-10T00:00:56.999000,-3.14282,-1.70136,-0.70735,3.64312
2024-01-10T00:00:57.999000,-3.41013,-2.06138,-0.39207,4.00399
2024-01-10T00:00:58.999000,-3.04463,-1.25260,-0.90902,3.41542
2024-01-10T00:00:59.999000,-2.75767,-1.56208,-0.29984,3.18351
2024-01-10T00:01:00.999000,-3.92098,-1.12477,-0.41646,4.10032
2024-01-10T00:01:01.999000,-6.02668,-1.25224,-0.69089,6.19405
2024-01-10T00:01:02.999000,-6.00893,-2.18983,-0.88592,6.45658
2024-01-10T00:01:03.999000,-4.14346,-1.10081,-0.28949,4.29696
2024-01-10T00:01:04.999000,-2.59766,-1.13095,1.07854,3.03152
2024-01-10T00:01:05.999000,-6.00633,-2.63909,-0.90539,6.62273
2024-01-10T00:01:06.999000,-5.37986,-2.31161,-0.46549,5.87394
2024-01-10T00:01:07.999000,-4.29064,-2.91012,-0.40710,5.20039
2024-01-10T00:01:08.999000,-4.07048,-1.54616,0.70397,4.41078
2024-01-10T00:01:09.999000,-6.04509,-2.47167,-0.49342,6.54948
2024-01-10T00:01:10.999000,-3.68631,-0.36054,-0.26082,3.71307
2024-01-10T00:01:11.999000,-2.85525,-1.67203,-0.13131,3.31141
2024-01-10T00:01:12.999000,-2.10210,-1.86930,0.37176,2.83748
2024-01-10T00:01:13.999000,-3.07766,-1.09927,0.15218,3.27162
2024-01-10T00:01:14.999000,-4.21694,-1.22812,-0.31122,4.40315
2024-01-10T00:01:15.999000,-3.09406,-1.27013,0.00780,3.34463
2024-01-10T00:01:16.999000,-4.95777,-1.17632,-0.47092,5.11713
2024-01-10T00:01:17.999000,-2.76411,-1.82182,-0.06368,3.31110
2024-01-10T00:01:18.999000,-5.08350,-1.98100,-0.03608,5.45597
2024-01-10T00:01:19.999000,-2.53376,-1.35385,0.17320,2.87799
