datetime_gps,dR_m,dT_m,dN_m,d3_m
2024-01-10T00:00:28.999000,2.35564,-3.66297,-0.84530,4.43631
2024-01-10T00:00:29.999000,3.06099,-3.16689,-0.86951,4.48942
2024-01-10T00:00:30.999000,5.11231,-2.79938,0.07085,5.82900
2024-01-10T00:00:31.999000,2.91213,-2.31716,0.08371,3.72247
2024-01-10T00:00:32.999000,3.82835,-3.31260,0.93108,5.14748
2024-01-10T00:00:33.999000,4.86175,-3.25235,0.42291,5.86458
2024-01-10T00:00:34.999000,2.59988,-2.29339,0.69253,3.53534
2024-01-10T00:00:35.999000,4.17247,-2.31916,0.40606,4.79092
2024-01-10T00:00:36.999000,4.22833,-2.70839,-0.02789,5.02145
2024-01-10T00:00:37.999000,2.44798,-3.23673,0.18164,4.06227
2024-01-10T00:00:38.999000,3.19509,-3.88752,-1.19629,5.17228
2024-01-10T00:00:39.999000,3.03337,-1.95197,-0.67754,3.67022
2024-01-10T00:00:40.999000,3.80987,-2.30173,-0.17971,4.45482
2024-01-10T00:00:41.999000,2.82773,-1.34548,0.86390,3.24849
2024-01-10T00:00:42.999000,5.43054,-2.72422,-0.58040,6.10320
2024-01-10T00:00:43.999000,4.96955,-3.98422,-0.83007,6.42335
2024-01-10T00:00:44.999000,2.56753,-1.91137,0.09674,3.20233
2024-01-10T00:00:45.999000,5.04425,-3.51353,0.32697,6.15600
2024-01-10T00:00:46.999000,4.33326,-2.89438,-0.51052,5.23595
2024-01-10T00:00:47.999000,4.93029,-2.58830,-0.70663,5.61305
2024-01-10T00:00:48.999000,4.02159,-1.55267,0.10804,4.31227
2024-01-10T00:00:49.999000,2.48366,-1.78646,1.24346,3.30245
2024-01-10T00:00:50.999000,3.08071,-3.10749,-0.35220,4.38991
2024-01-10T00:00:51.999000,2.37543,-2.74892,0.32310,3.64742
2024-01-10T00:00:52.999000,1.33169,-2.76282,-0.50718,3.10866
2024-01-10T00:00:53.999000,4.26533,-2.89475,-0.35510,5.16708
2024-01-10T00:00:54.999000,3.12176,-1.86002,-0.31194,3.64724
2024-01-10T00:00:55.999000,6.05458,-2.05849,-0.13333,6.39633
2024-01-10T00:00:56.999000,6.16480,-2.41411,-0.65389,6.65284
2024-01-10T00:00:57.999000,5.01157,-3.01686,0.48135,5.86933
2024-01-10T00:00:58.999000,4.58397,-2.63150,0.03113,5.28569
2024-01-10T00:00:59.999000,3.99132,-1.94825,0.46695,4.46591
2024-01-10T00:01:00.999000,4.64217,-2.79179,-0.51183,5.44112
2024-01-10T00:01:01.999000,6.64480,-2.16204,0.27927,6.99327
2024-01-10T00:01:02.999000,2.68944,-3.37641,0.18530,4.32059
2024-01-10T00:01:03.999000,4.43018,-2.30772,0.24975,5.00144
2024-01-10T00:01:04.999000,3.67653,-3.26664,-1.27574,5.08088
2024-01-10T00:01:05.999000,2.27494,-2.94539,-0.11211,3.72334
2024-01-10T00:01:06.999000,3.68442,-2.36289,-0.00222,4.37700
2024-01-10T00:01:07.999000,4.72008,-3.51164,-0.31577,5.89156
2024-01-10T00:01:08.999000,1.64307,-2.82226,0.40651,3.29091
2024-01-10T00:01:09.999000,3.10418,-2.50301,-0.83841,4.07479
2024-01-10T00:01:10.999000,4.84460,-2.83076,-1.03860,5.70632
2024-01-10T00:01:11.999000,5.00192,-2.12238,-0.59625,5.46619
2024-01-10T00:01:12.999000,5.57329,-3.33824,-0.31407,6.50416
2024-01-10T00:01:13.999000,2.44779,-1.20198,-0.06263,2.72770
2024-01-10T00:01:14.999000,2.91785,-2.58767,-0.19824,3.90502
2024-01-10T00:01:15.999000,1.22738,-3.06047,-0.91744,3.42267
2024-01-10T00:01:16.999000,4.41025,-3.46500,-0.98697,5.69479
2024-01-10T00:01:17.999000,1.15705,-2.70298,0.00509,2.94022
2024-01-10T00:01:18.999000,2.03595,-2.59939,-0.55912,3.34881
2024-01-10T00:01:19.999000,4.29444,-1.49812,0.73256,4.60687
2024-01-10T00:01:20.999000,4.11218,-2.28911,-0.50772,4.73369
2024-01-10T00:01:21.999000,2.21264,-3.08761,-0.21618,3.80471
2024-01-10T00:01:22.999000,2.86334,-3.03499,-0.59170,4.21426
2024-01-10T00:01:23.999000,5.04215,-2.86081,-0.38403,5.80991
2024-01-10T00:01:24.999000,4.78578,-1.98751,-0.54499,5.21065
2024-01-10T00:01:25.999000,3.74052,-2.76209,-0.50938,4.67762
2024-01-10T00:01:26.999000,3.78147,-3.25574,-0.73554,5.04384
2024-01-10T00:01:27.999000,4.10413,-3.12690,-0.74269,5.21277
2024-01-10T00:01:28.999000,4.52384,-3.33342,-0.62963,5.65449
2024-01-10T00:01:29.999000,2.72907,-3.09531,-0.02948,4.12670
2024-01-10T00:01:30.999000,1.64129,-3.40093,-0.46496,3.80478
2024-01-10T00:01:31.999000,2.56783,-2.54247,-0.25209,3.62236
