datetime_gps,dR_m,dT_m,dN_m,d3_m
2024-01-10T00:00:29.999000,2.48084,0.09692,-2.06308,3.22804
2024-01-10T00:00:30.999000,5.56281,0.03576,-0.55150,5.59020
2024-01-10T00:00:31.999000,4.59933,1.54585,-1.62868,5.11821
2024-01-10T00:00:32.999000,3.60712,-1.75367,-0.09770,4.01201
2024-01-10T00:00:33.999000,1.58726,-2.44056,-0.61249,2.97504
2024-01-10T00:00:34.999000,3.16938,-3.80559,0.94366,5.04162
2024-01-10T00:00:35.999000,3.38671,-0.72598,-0.14862,3.46683
2024-01-10T00:00:36.999000,4.06844,-0.04898,0.15187,4.07157
2024-01-10T00:00:37.999000,3.00444,-0.94521,-0.06196,3.15023
2024-01-10T00:00:38.999000,4.42760,-0.72142,-0.14379,4.48829
2024-01-10T00:00:39.999000,6.28449,0.90962,-1.15199,6.45363
2024-01-10T00:00:40.999000,2.97793,-1.34491,-0.31808,3.28299
2024-01-10T00:00:41.999000,5.14010,0.53937,-1.83229,5.48351
2024-01-10T00:00:42.999000,5.04108,-1.16967,-0.06264,5.17538
2024-01-10T00:00:43.999000,5.93145,0.56506,-1.82825,6.23249
2024-01-10T00:00:44.999000,1.97386,-2.15775,0.41056,2.95306
2024-01-10T00:00:45.999000,5.70163,-2.56304,-0.07744,6.25170
2024-01-10T00:00:46.999000,3.43046,-1.70524,-0.51823,3.86581
2024-01-10T00:00:47.999000,3.41597,-0.70506,-1.78473,3.91806
2024-01-10T00:00:48.999000,5.73642,-0.52378,-0.25407,5.76588
2024-01-10T00:00:49.999000,4.75474,-2.16555,0.50563,5.24908
2024-01-10T00:00:50.999000,5.51806,-1.75402,-0.78412,5.84298
2024-01-10T00:00:51.999000,5.05318,-1.38120,-0.14679,5.24060
2024-01-10T00:00:52.999000,4.01031,-3.95506,2.00462,5.97860
2024-01-10T00:00:53.999000,2.76362,-1.02055,-0.17727,2.95137
2024-01-10T00:00:54.999000,2.39668,-2.49892,0.58827,3.51208
2024-01-10T00:00:55.999000,0.69015,-1.53633,0.36683,1.72371
2024-01-10T00:00:56.999000,5.33322,-1.12954,-0.85167,5.51764
2024-01-10T00:00:57.999000,5.47111,-1.18933,-0.25957,5.60490
2024-01-10T00:00:58.999000,6.00629,-0.66350,-0.83753,6.10060
