Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,23691036.60113,-17481862.68438,-3066438.94667,0,0,0,1.548291643129,0.2187289708144,26953855.47506,26972200.5630743,141739815.9892,-6.117528696803e-05,0,0,0,5.198366182992,1.992608352629e-82,0,-1.22853091952,0.218257576229,-4.485334585092,1.915967827143,1.313549456585,-3.29846433351,13135.24317769,-2499.553667381,0,0,259182.500,2296,86368,0,410.0304232368
600,23691006.21422,-17481850.81076,-3066740.837627,0,0,0,1.548249729914,0.2187642136389,26953605.52587,26971950.6136014,141738502.5013,-6.117528778077e-05,0,0,0,5.197840361503,1.992047367589e-82,0,-1.228559800349,0.2182926650004,-4.484914690648,1.915877845945,1.313551517867,-3.297821852748,13134.51322751,-2499.414762482,0,0,259182.600,2296,86368,0,510.0312569784
700,23690975.82511,-17481838.93494,-3067042.728113,0,0,0,1.548207809322,0.2187994551269,26953355.59057,26971700.678021,141737189.0865,-6.117528859351e-05,0,0,0,5.197314573077,1.991486527057e-82,0,-1.228588683989,0.2183277525328,-4.484494811032,1.915787864929,1.313553579397,-3.297179373477,13133.78313052,-2499.275829643,0,0,259182.700,2296,86368,0,610.0320906738
800,23690945.43378,-17481827.05693,-3067344.618127,0,0,0,1.548165881353,0.2188346952779,26953105.66917,26971450.7563352,141735875.7447,-6.117528940625e-05,0,0,0,5.196788817729,1.990925830993e-82,0,-1.228617570495,0.2183628385371,-4.484074949702,1.915697845965,1.313555641174,-3.296536899163,13133.05285733,-2499.136863276,0,0,259182.800,2296,86368,0,710.0329243228
900,23690915.04025,-17481815.17671,-3067646.507669,0,0,0,1.548123946007,0.2188699340915,26952855.76166,26971200.8485462,141734562.476,-6.117529021899e-05,0,0,0,5.196263095476,1.99036527936e-82,0,-1.228646458121,0.2183979232285,-4.483655104083,1.915607869637,1.313557703199,-3.295894427233,13132.3225352,-2498.997887596,0,0,259182.900,2296,86368,0,810.0337579255
1000,23690884.64451,-17481803.29429,-3067948.39674,0,0,0,1.548082003282,0.2189051715676,26952605.86805,26970950.9544232,141733249.2815,-6.117529103173e-05,0,0,0,5.195504621344,1.989804872116e-82,0,-1.228675352261,0.2184330065372,-4.48323527501,1.915517866827,1.313559765471,-3.295251958528,13130.98040728,-2498.742489144,0,0,259183.000,2296,86368,0,910.0345914825
1100,23690854.24656,-17481791.40967,-3068250.285339,0,0,0,1.548040053178,0.2189404077056,26952355.98834,26970701.074434,141731936.1588,-6.117529184447e-05,0,0,0,5.194978987806,1.989244609223e-82,0,-1.228704247562,0.2184680886039,-4.482815460801,1.915427850257,1.31356182799,-3.294609491371,13130.86155815,-2498.719872907,0,0,259183.100,2296,86368,0,1010.035424992
1200,23690823.8464,-17481779.52286,-3068552.173466,0,0,0,1.547998095694,0.2189756425054,26952106.12254,26970451.208348,141730623.1092,-6.117529265721e-05,0,0,0,5.194453387414,1.988684490642e-82,0,-1.228733145997,0.218503169273,-4.482395663314,1.915337856357,1.313563890758,-3.293967027626,13130.13087385,-2498.580828309,0,0,259183.200,2296,86368,0,1110.036258456
1300,23690793.44404,-17481767.63384,-3068854.061122,0,0,0,1.547956130831,0.2190108759664,26951856.27064,26970201.3561673,141729310.1326,-6.117529346995e-05,0,0,0,5.193927820186,1.988124516332e-82,0,-1.228762046946,0.2185382486728,-4.481975881018,1.915247825568,1.313565953772,-3.293324565765,13129.40009168,-2498.441765085,0,0,259183.300,2296,86368,0,1210.037091873
1400,23690763.03947,-17481755.74262,-3069155.948306,0,0,0,1.547914158587,0.2190461080885,26951606.43265,26969951.517894,141727997.2291,-6.117529428269e-05,0,0,0,5.193402286136,1.987564686255e-82,0,-1.228790951055,0.2185733266209,-4.481556116093,1.915157837627,1.313568017033,-3.292682107975,13128.6691431,-2498.302670196,0,0,259183.400,2296,86368,0,1310.037925244
