Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-22682882.51365,1823374.530287,-13792339.48935,0,0,0,-2.08313905411,-0.07914559017439,26083833.21887,26194571.6767931,137653326.2853,-0.000369359309882,0,0,0,7.322524920853,1.409592954948e-81,0,1.423051727745,-0.07863562143633,-8.089040166735,1.055581305307,1.2775807555,-10.33185808303,5808.668719211,-1105.352904648,0,0,259182.500,2296,86368,0,412.6243139953
600,-22683041.30622,1823302.462451,-13792087.4782,0,0,0,-2.083116833922,-0.07913158219897,26083722.69943,26194461.1570026,137652745.5053,-0.0003693593104449,0,0,0,7.322012996058,1.409409491524e-81,0,1.423086866783,-0.07862145162919,-8.088832914329,1.055679091039,1.277580418644,-10.33163756899,5806.932084999,-1105.022434145,0,0,259182.600,2296,86368,0,512.6246826496
700,-22683200.09625,1823230.396641,-13791835.46412,0,0,0,-2.083094615352,-0.07911757837913,26083612.21303,26194350.6702612,137652164.8989,-0.0003693593110078,0,0,0,7.321501069632,1.409226001592e-81,0,1.423122008784,-0.07860728593217,-8.088625722038,1.055776892722,1.277580081948,-10.33141711481,5805.195255023,-1104.69192639,0,0,259182.700,2296,86368,0,612.6250511937
800,-22683358.88374,1823158.332859,-13791583.44713,0,0,0,-2.083072398399,-0.0791035787152,26083501.75968,26194240.2165712,137651584.4662,-0.0003693593115707,0,0,0,7.320989141586,1.409042485176e-81,0,1.423157153579,-0.07859312447267,-8.088418591727,1.055874708572,1.27757974541,-10.33119672238,5803.45828801,-1104.361392558,0,0,259182.800,2296,86368,0,712.6254196276
900,-22683517.66868,1823086.271104,-13791331.42722,0,0,0,-2.083050183066,-0.07908958320751,26083391.33939,26194129.7959351,137651004.2072,-0.0003693593121336,0,0,0,7.320477211933,1.408858942301e-81,0,1.423192303001,-0.07857896715302,-8.088211521967,1.055972515991,1.277579409031,-10.33097639025,5801.721223115,-1104.030840099,0,0,259182.900,2296,86368,0,812.6257879512
1000,-22683676.45108,1823014.211376,-13791079.40439,0,0,0,-2.083027969353,-0.07907559185641,26083280.95215,26194019.4082063,137650424.1228,-0.0003693593126965,0,0,0,7.319816407116,1.408675372987e-81,0,1.423227451624,-0.07856481401403,-8.088004513354,1.056070316379,1.27757907281,-10.33075611903,5799.592931004,-1103.625839576,0,0,259183.000,2296,86368,0,912.626156165
1100,-22683835.23094,1822942.153675,-13790827.37864,0,0,0,-2.083005757261,-0.07906160466223,26083170.59797,26193909.0536851,137649844.2112,-0.0003693593132593,0,0,0,7.31930449233,1.40849177726e-81,0,1.423262604859,-0.07855066498422,-8.087797564844,1.05616812614,1.277578736748,-10.33053590768,5798.246770313,-1103.369673714,0,0,259183.100,2296,86368,0,1012.626524268
1200,-22683994.00826,1822870.098001,-13790575.34998,0,0,0,-2.082983546791,-0.07904762162531,26083060.27686,26193798.7322248,137649264.4734,-0.0003693593138222,0,0,0,7.31879257598,1.408308155141e-81,0,1.42329776067,-0.07853652013574,-8.087590677491,1.056265918114,1.277578400845,-10.33031575727,5796.509372617,-1103.039057925,0,0,259183.200,2296,86368,0,1112.626892261
1300,-22684152.78304,1822798.044354,-13790323.3184,0,0,0,-2.082961337944,-0.07903364274598,26082949.9888,26193688.4438278,137648684.9094,-0.0003693593143851,0,0,0,7.318280658079,1.408124506653e-81,0,1.423332919729,-0.07852237941134,-8.087383850458,1.056363747044,1.2775780651,-10.33009566695,5794.771788943,-1102.708406746,0,0,259183.300,2296,86368,0,1212.627260143
1400,-22684311.55527,1822725.992735,-13790071.2839,0,0,0,-2.08293913072,-0.07901966802459,26082839.73381,26193578.1884966,137648105.5191,-0.000369359314948,0,0,0,7.317768738639,1.407940831821e-81,0,1.423368081316,-0.07850824289248,-8.087177084937,1.056461558906,1.277577729514,-10.32987563792,5793.034078023,-1102.377731353,0,0,259183.400,2296,86368,0,1312.627627916
1500,-22684470.32497,1822653.943142,-13789819.24648,0,0,0,-2.082916925122,-0.07900569746146,26082729.51189,26193467.9662335,137647526.3025,-0.0003693593155109,0,0,0,7.317256817672,1.407757130666e-81,0,1.423403247748,-0.07849411047865,-8.086970379458,1.056559369929,1.277577394086,-10.32965566871,5791.296279008,-1102.047039196,0,0,259183.500,2296,86368,0,1412.627995577
1600,-22684629.09212,1822581.895576,-13789567.20615,0,0,0,-2.082894721149,-0.07899173105693,26082619.32305,26193357.7770409,137646947.2598,-0.0003693593160738,0,0,0,7.316744895193,1.407573403213e-81,0,1.42343841298,-0.07847998229633,-8.08676373587,1.056657167679,1.277577058817,-10.32943576119,5789.558352745,-1101.716322824,0,0,259183.600,2296,86368,0,1512.628363129
1700,-22684787.85673,1822509.850037,-13789315.1629,0,0,0,-2.082872518803,-0.07897776881134,26082509.16727,26193247.6209211,137646368.3909,-0.0003693593166367,0,0,0,7.316232971211,1.407389649483e-81,0,1.423473583061,-0.07846585817731,-8.086557151713,1.056754975157,1.277576723706,-10.32921591289,5787.820348177,-1101.385591552,0,0,259183.700,2296,86368,0,1612.62873057
1800,-22684946.61879,1822437.806526,-13789063.11673,0,0,0,-2.082850318084,-0.07896381072503,26082399.04457,26193137.4978766,137645789.6957,-0.0003693593171996,0,0,0,7.315721045741,1.407205869501e-81,0,1.423508755967,-0.07845173827794,-8.086350629275,1.056852802967,1.277576388753,-10.3289961261,5786.082147843,-1101.054823026,0,0,259183.800,2296,86368,0,1712.629097901
1900,-22685105.37832,1822365.765041,-13788811.06764,0,0,0,-2.082828118995,-0.07894985679833,26082288.95494,26193027.4079096,137645211.1744,-0.0003693593177625,0,0,0,7.315209118795,1.407022063289e-81,0,1.423543932063,-0.07843762249948,-8.08614416711,1.05695061636,1.277576053959,-10.32877639938,5784.343859415,-1100.724037737,0,0,259183.900,2296,86368,0,1812.629465122
2000,-22685264.1353,1822293.725583,-13788559.01564,0,0,0,-2.082805921535,-0.07893590703157,26082178.8984,26192917.3508739,137644632.8278,-0.0003693593183254,0,0,0,7.31454848132,1.406838230871e-81,0,1.423579112087,-0.07842351089639,-8.085937766015,1.057048431034,1.277575719323,-10.32855673355,5782.214666782,-1100.318865851,0,0,259184.000,2296,86384,0,1912.629832233
2100,-22685422.88974,1822221.688152,-13788306.96071,0,0,0,-2.082783725705,-0.0789219614251,26082068.87494,26192807.3270694,137644054.6541,-0.0003693593188883,0,0,0,7.314036569562,1.406654372269e-81,0,1.423614291877,-0.07840940346321,-8.085731425911,1.057146233613,1.277575384845,-10.32833712851,5780.866871451,-1100.062388927,0,0,259184.100,2296,86384,0,2012.630199232
2200,-22685581.64164,1822149.652747,-13788054.90288,0,0,0,-2.082761531507,-0.07890801997925,26081958.88456,26192697.3363495,137643476.6544,-0.0003693593194512,0,0,0,7.313524656371,1.406470487507e-81,0,1.423649475786,-0.07839530018293,-8.085525146549,1.057244050042,1.277575050525,-10.32811758402,5779.128220857,-1099.731534719,0,0,259184.200,2296,86384,0,2112.630566122
2300,-22685740.39099,1822077.61937,-13787802.84212,0,0,0,-2.082739338941,-0.07889408269435,26081848.92727,26192587.3787167,137642898.8285,-0.0003693593200141,0,0,0,7.31301274176,1.406286576607e-81,0,1.423684662749,-0.07838120107271,-8.08531892818,1.057341871417,1.277574716363,-10.32789810034,5777.389433227,-1099.400654435,0,0,259184.300,2296,86384,0,2212.630932901
2400,-22685899.1378,1822005.588019,-13787550.77845,0,0,0,-2.082717148009,-0.07888014957074,26081739.00307,26192477.4541734,137642321.1765,-0.000369359320577,0,0,0,7.31250082574,1.406102639593e-81,0,1.42371985263,-0.0783671061462,-8.085112771003,1.057439709917,1.277574382359,-10.32767867768,5775.650430255,-1099.069733173,0,0,259184.400,2296,86384,0,2312.63129957
2500,-22686057.88207,1821933.558695,-13787298.71186,0,0,0,-2.082694958712,-0.07886622060876,26081629.11196,26192367.5627219,137641743.6984,-0.0003693593211399,0,0,0,7.311988908325,1.405918676488e-81,0,1.423755045187,-0.07835301535266,-8.084906674276,1.057537513051,1.277574048514,-10.32745931528,5773.911417495,-1098.738810048,0,0,259184.500,2296,86384,0,2412.631666128
2600,-22686216.6238,1821861.531398,-13787046.64235,0,0,0,-2.082672771049,-0.07885229580873,26081519.25395,26192257.7043646,137641166.3942,-0.0003693593217028,0,0,0,7.311476989526,1.405734687315e-81,0,1.42379024223,-0.07833892865071,-8.084700637394,1.057635328376,1.277573714826,-10.32724001257,5772.172199181,-1098.407847807,0,0,259184.600,2296,86384,0,2512.632032576
2700,-22686375.36298,1821789.506128,-13786794.56993,0,0,0,-2.082650585023,-0.07883837517101,26081409.42903,26192147.8791038,137640589.264,-0.0003693593222657,0,0,0,7.310965069357,1.405550672097e-81,0,1.423825438724,-0.0783248462553,-8.084494663501,1.057733149904,1.277573381296,-10.32702077267,5770.432951503,-1098.076879978,0,0,259184.700,2296,86384,0,2612.632398914
2800,-22686534.09962,1821717.482884,-13786542.49459,0,0,0,-2.082628400635,-0.07882445869592,26081299.63721,26192038.086942,137640012.3077,-0.0003693593228286,0,0,0,7.310453147829,1.405366630856e-81,0,1.423860639564,-0.07831076793088,-8.084288749152,1.057830981708,1.277573047924,-10.32680159215,5768.693527636,-1097.745878622,0,0,259184.800,2296,86384,0,2712.632765141
