Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
500,-1256621.851056733,-7326934.823600783,-2064108.157772033,159.1159069122953,0.07503400986129745,0,2745.943160494789,1298.547021113336,-6280.383317964152,1.276552211493254,5.921348929405212,1.78581103682518,259182.500,2296
600,-1256347.250373474,-7326804.939298345,-2064736.187145364,159.1151672943128,0.07505463837052539,0,2746.070500463247,1299.139027483761,-6280.204145587049,1.27498060464859,5.920417606830597,1.78883783519268,259182.600,2296
700,-1256072.636957631,-7326674.995796093,-2065364.198597437,159.1144274121064,0.07507524683450195,0,2746.197819709778,1299.731019884348,-6280.024906736799,1.272768713533878,5.922047421336174,1.78714981302619,259182.700,2296
800,-1255798.010810704,-7326544.993095331,-2065992.192122811,159.1136872790616,0.07509588460722937,0,2746.325130690821,1300.322996918112,-6279.845615033992,1.271255314350128,5.922513082623482,1.790758688002825,259182.800,2296
900,-1255523.371934225,-7326414.931197366,-2066620.167716009,159.1129467872853,0.07511651448489112,0,2746.452415827662,1300.914962776005,-6279.666260583326,1.276086550205946,5.919253453612328,1.794251147657633,259182.900,2296
1000,-1255248.720329655,-7326284.810103508,-2067248.125371616,159.1122062486193,0.07513714948033394,0,2746.579682803713,1301.506914198399,-6279.486858518794,1.272652298212051,5.918554961681366,1.800712198019028,259183.000,2296
1100,-1254974.055998526,-7326154.629815063,-2067876.065084159,159.1114653510069,0.07515776436102223,0,2746.706941630691,1302.098854910582,-6279.307401389815,1.267355401068926,5.917856469750404,1.804961357265711,259183.100,2296
1200,-1254699.378942345,-7326024.390333341,-2068503.986848183,159.1107242131303,0.0751783860598589,0,2746.834176476113,1302.690777927637,-6279.127872898243,1.267530024051666,5.91762363910675,1.804670318961143,259183.200,2296
1300,-1254424.689162617,-7325894.091659652,-2069131.890658242,159.1099827946929,0.07519899248399085,0,2746.961408527568,1303.28269302845,-6278.948314604349,1.264503225684166,5.918089300394058,1.804728526622057,259183.300,2296
1400,-1254149.98666084,-7325763.733795299,-2069759.776508897,159.1092411393765,0.07521961487824248,0,2747.0886252122,1303.874589968473,-6278.768688091077,1.264328602701426,5.917856469750404,1.805135980248451,259183.400,2296
1500,-1253875.27143855,-7325633.316741598,-2070387.64439467,159.1084991113566,0.075240215115343,0,2747.215822921135,1304.46647759527,-6278.589011519216,1.274340320378542,5.917856469750404,1.798034645617008,259183.500,2296
1600,-1253600.543497202,-7325502.840499851,-2071015.49431016,159.1077570605106,0.07526083930724133,0,2747.34299397096,1305.058350320905,-6278.409271268174,1.27480598166585,5.917856469750404,1.797685399651527,259183.600,2296
1700,-1253325.802838335,-7325372.305071376,-2071643.326249883,159.1070146354037,0.07528142479474251,0,2747.470161877573,1305.650211405009,-6278.229487244971,1.269858330488205,5.91762363910675,1.801468897610903,259183.700,2296
1800,-1253051.049463449,-7325241.710457481,-2072271.140208396,159.1062719565912,0.07530203139011184,0,2747.597321285866,1306.242061778903,-6278.04966061376,1.266773324459791,5.918089300394058,1.801177859306335,259183.800,2296
1900,-1252776.283374069,-7325111.056659484,-2072898.936180218,159.1055289999885,0.07532262063722152,0,2747.7244627662,1306.833893992007,-6277.869761455804,1.274689566344023,5.92181459069252,1.787091605365276,259183.900,2296
2000,-1252501.504571678,-7324980.343678682,-2073526.714159971,159.1047857250663,0.07534321402706469,0,2747.85158620216,1307.425715960562,-6277.689815033227,1.280568540096283,5.920184776186943,1.787964720278978,259184.000,2296
2100,-1252226.71305779,-7324849.571516401,-2074154.474142144,159.1040423698428,0.07536380717988655,0,2747.978687635623,1308.017525821924,-6277.509812964126,1.280219294130802,5.920184776186943,1.788954250514507,259184.100,2296
2200,-1251951.9088339,-7324718.740173946,-2074782.216121334,159.1032986845516,0.07538439553699094,0,2748.105783946812,1308.60932264477,-6277.32976374682,1.272419467568398,5.919253453612328,1.797860022634268,259184.200,2296
2300,-1251677.091901535,-7324587.849652635,-2075409.940092058,159.1025547305363,0.07540498513022714,0,2748.232864309102,1309.201105497777,-6277.149657136761,1.272070221602917,5.918554961681366,1.79873313754797,259184.300,2296
2400,-1251402.262262197,-7324456.899953781,-2076037.646048876,159.1018105159625,0.07542558108927767,0,2748.359924415126,1309.792872983962,-6276.969487196766,1.269043423235416,5.918554961681366,1.798616722226143,259184.400,2296
2500,-1251127.419917391,-7324325.891078698,-2076665.333986345,159.1010660530761,0.07544616334021015,0,2748.486982076429,1310.384628828615,-6276.789274881594,1.265376340597868,5.917390808463097,1.805776264518499,259184.500,2296
2600,-1250852.56486864,-7324194.8230287,-2077293.003899012,159.1003212370094,0.07546671649065,0,2748.614011565223,1310.97637116909,-6276.608993997797,1.269974745810032,5.915993824601173,1.810432877391577,259184.600,2296
2700,-1250577.697117426,-7324063.695805104,-2077920.655781428,159.0995763623602,0.07548732185974925,0,2748.74102207832,1311.568101868033,-6276.428664801642,1.269683707505465,5.915062502026558,1.810723915696144,259184.700,2296
2800,-1250302.816665273,-7323932.509409228,-2078548.289628144,159.0988311417737,0.07550788973905839,0,2748.868021299131,1312.159816734493,-6276.248275535181,1.268461346626282,5.915993824601173,1.807347871363163,259184.800,2296
2900,-1250027.923513679,-7323801.263842383,-2079175.905433726,159.0980856815714,0.07552844045321563,0,2748.995002591982,1312.751519028097,-6276.067825150676,1.261476427316666,5.91576099395752,1.813808921724558,259184.900,2296
3000,-1249753.017664167,-7323669.95910589,-2079803.503192701,159.0973399289726,0.07554903454670348,0,2749.121984583326,1313.343208283186,-6275.887340307236,1.259730197489262,5.914364010095596,1.81770883500576,259185.000,2296
3100,-1249478.099118245,-7323538.595201064,-2080431.082899646,159.096593847004,0.07556957932167895,0,2749.248938751407,1313.93488496542,-6275.706787128001,1.266133040189743,5.913432687520981,1.817941665649414,259185.100,2296
3200,-1249203.167877411,-7323407.172129229,-2081058.644549088,159.09584768433,0.0755901516706612,0,2749.375874642283,1314.526549074799,-6275.526187149808,1.271837390959263,5.91576099395752,1.807580702006817,259185.200,2296
3300,-1248928.223943174,-7323275.689891694,-2081686.1881356,159.0951011882185,0.07561072273919736,0,2749.502795166336,1315.118196420372,-6275.345519185066,1.270265784114599,5.916226655244827,1.804844941943884,259185.300,2296
3400,-1248653.267317041,-7323144.148489784,-2082313.713653739,159.0943544406304,0.07563127037285843,0,2749.629706842825,1315.709834452718,-6275.164808961563,1.269567292183638,5.916226655244827,1.806358341127634,259185.400,2296
