Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-31549082.25165,18841413.58078,-20840481.32848,0,0,0,-2.174589439317,-0.3435785685324,44215079.85033,44222941.466766,230280385.2973,-2.619923469033e-05,0,0,0,7.283474421692,1.409592954948e-81,0,1.331953659204,-0.3430748599537,-11.92190869862,1.184161148229,1.397983732183,-19.28472295025,6827.740060665,-1311.19569391,0,0,259182.500,2296,86368,0,352.4881454264
600,-31549150.06128,18841507.56902,-20840298.18298,0,0,0,-2.174609441841,-0.3435612893023,44214948.72914,44222810.3448259,230279702.5171,-2.619923418373e-05,0,0,0,7.282875062425,1.409409491524e-81,0,1.331946664467,-0.3430574231356,-11.92168141336,1.184253158232,1.397982662725,-19.28444877714,6827.862077633,-1311.219125986,0,0,259182.600,2296,86368,0,452.4885828021
700,-31549217.86954,18841601.55825,-20840115.03637,0,0,0,-2.174629446171,-0.3435440098274,44214817.60561,44222679.220544,230279019.7248,-2.619923367712e-05,0,0,0,7.282275709024,1.409226001592e-81,0,1.3319396724,-0.3430399860007,-11.92145412397,1.184345196542,1.397981593304,-19.2841746001,6827.98397821,-1311.24253571,0,0,259182.700,2296,86368,0,552.4890201856
800,-31549285.67644,18841695.54848,-20839931.88866,0,0,0,-2.174649452309,-0.3435267301078,44214686.47974,44222548.0939219,230278336.9204,-2.619923317051e-05,0,0,0,7.28167636151,1.409042485176e-81,0,1.331932683067,-0.3430225487533,-11.92122683312,1.184437261663,1.39798052392,-19.28390042179,6828.105762396,-1311.265923083,0,0,259182.800,2296,86368,0,652.4894575769
900,-31549353.48199,18841789.5397,-20839748.73985,0,0,0,-2.174669460254,-0.3435094501437,44214555.35153,44222416.9649609,230277654.1037,-2.61992326639e-05,0,0,0,7.281077019906,1.408858942301e-81,0,1.331925698126,-0.3430051112377,-11.92099953876,1.184529303795,1.397979454573,-19.28362624017,6828.227565981,-1311.289314181,0,0,259182.900,2296,86368,0,752.4898949761
1000,-31549421.28617,18841883.53191,-20839565.58994,0,0,0,-2.174689470008,-0.3434921699353,44214424.22098,44222285.8335152,230276971.2756,-2.619923215729e-05,0,0,0,7.280330160721,1.408675372987e-81,0,1.331918712212,-0.3429876735148,-11.92077224171,1.184621340306,1.397978385263,-19.28335205604,6827.965161603,-1311.238922179,0,0,259183.000,2296,86368,0,852.4903323835
1100,-31549489.08899,18841977.52512,-20839382.43893,0,0,0,-2.17470948157,-0.3434748894828,44214293.0881,44222154.6998812,230276288.4346,-2.619923165068e-05,0,0,0,7.279730853612,1.40849177726e-81,0,1.331911730619,-0.3429702354734,-11.92054494051,1.184713345341,1.397977315989,-19.28307786796,6828.470843374,-1311.336033046,0,0,259183.100,2296,86368,0,952.4907697982
1200,-31549556.89045,18842071.51932,-20839199.28681,0,0,0,-2.174729494941,-0.3434576087863,44214161.95288,44222023.563913,230275605.5815,-2.619923114406e-05,0,0,0,7.279131552485,1.408308155141e-81,0,1.331904751437,-0.3429527972278,-11.92031763664,1.184805382823,1.397976246753,-19.28280367741,6828.592297784,-1311.359357089,0,0,259183.200,2296,86368,0,1052.491207221
1300,-31549624.69055,18842165.51452,-20839016.13359,0,0,0,-2.174749510121,-0.3434403278461,44214030.81533,44221892.4256119,230274922.7161,-2.619923063745e-05,0,0,0,7.278532257361,1.408124506653e-81,0,1.331897775237,-0.342935358686,-11.92009032891,1.184897441786,1.397975177554,-19.2825294832,6828.713752195,-1311.382681131,0,0,259183.300,2296,86368,0,1152.491644651
1400,-31549692.48928,18842259.51072,-20838832.97927,0,0,0,-2.174769527112,-0.3434230466624,44213899.67545,44221761.2849796,230274239.8387,-2.619923013083e-05,0,0,0,7.277932968261,1.407940831821e-81,0,1.331890801443,-0.3429179199782,-11.91986301902,1.184989492253,1.397974108391,-19.28225528701,6828.835090213,-1311.405982822,0,0,259183.400,2296,86368,0,1252.492082089
