Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-5873643.084134,-16262688.30116,24028709.34114,0,0,0,-0.1092741135836,0.08080749953091,27964263.04702,28304835.2789431,148742832.5241,-0.001136001040349,0,0,0,7.687750172298,4.814051807952e-82,0,-2.886344068741,0.08064941735221,-6.046447209429,1.093307505964,1.308014485007,-5.563933330605,-33365.35676147,6349.216282368,0,0,259182.500,2296,86368,0,405.5852323045
600,-5873461.212984,-16262846.5211,24028646.69983,0,0,0,-0.109283998971,0.0807230966206,27964897.96997,28305470.2028265,148746169.0644,-0.001136001041149,0,0,0,7.688438270938,4.817431448122e-82,0,-2.886341065933,0.08056496363801,-6.047394547043,1.093279784307,1.308012647879,-5.565205994016,-33365.44910397,6349.233854562,0,0,259182.600,2296,86368,0,505.5831144264
700,-5873279.343551,-16263004.74205,24028584.05483,0,0,0,-0.1092938859652,0.08063869601133,27965532.89468,28306105.1284631,148749505.6139,-0.001136001041949,0,0,0,7.689126465031,4.820816017814e-82,0,-2.886338060142,0.08048051192915,-6.048341862163,1.09325206058,1.308010812717,-5.566478493917,-33365.5410941,6349.251359701,0,0,259182.700,2296,86368,0,605.5809965424
800,-5873097.475835,-16263162.96402,24028521.40614,0,0,0,-0.1093037745667,0.08055429770303,27966167.82114,28306740.0558478,148752842.1726,-0.001136001042749,0,0,0,7.689814754644,4.824205527097e-82,0,-2.886335051584,0.08039606305914,-6.049289145438,1.093224330668,1.308008979521,-5.567750820967,-33365.63282973,6349.268816411,0,0,259182.800,2296,86368,0,705.5788786526
900,-5872915.609837,-16263321.187,24028458.75376,0,0,0,-0.1093136647759,0.08046990169561,27966802.74934,28307374.9849754,148756178.7404,-0.001136001043549,0,0,0,7.690503139842,4.827599986059e-82,0,-2.88633203839,0.080311616399,-6.050236403925,1.093196604525,1.30800714829,-5.56902298223,-33365.72424235,6349.286211655,0,0,259182.900,2296,86368,0,805.576760757
1000,-5872733.745557,-16263479.41101,24028396.09768,0,0,0,-0.1093235565936,0.08038550798899,27967437.67927,28308009.9155758,148759515.3188,-0.001136001044348,0,0,0,7.690926726638,4.830999404812e-82,0,-2.886329025999,0.08022717217021,-6.051183635139,1.093168881064,1.308005319024,-5.570294975231,-33366.51143431,6349.436009303,0,0,259183.000,2296,86368,0,905.5746428565
1100,-5872551.882994,-16263637.63604,24028333.43791,0,0,0,-0.1093334500202,0.0803011165831,27968072.61094,28308644.8481736,148762851.9049,-0.001136001045148,0,0,0,7.69161526948,4.834403793494e-82,0,-2.886326008974,0.08014272994479,-6.05213084388,1.093141159144,1.308003491724,-5.571566804778,-33365.90635305,6349.320866168,0,0,259183.100,2296,86368,0,1005.572524949
1200,-5872370.022149,-16263795.86208,24028270.77446,0,0,0,-0.1093433450562,0.08021672747786,27968707.54434,28309279.7824987,148766188.5001,-0.001136001045948,0,0,0,7.692303908104,4.837813162267e-82,0,-2.886322989377,0.0800582901782,-6.053078025041,1.093113429508,1.308001666388,-5.572838465771,-33365.99688472,6349.338093773,0,0,259183.200,2296,86368,0,1105.570407036
1300,-5872188.163022,-16263954.08914,24028208.10731,0,0,0,-0.1093532417022,0.0801323406732,27969342.47946,28309914.7185461,148769525.1043,-0.001136001046748,0,0,0,7.692992642577,4.841227521316e-82,0,-2.886319966513,0.07997385249703,-6.054025182808,1.093085701487,1.307999843018,-5.574109962408,-33366.08725978,6349.355291575,0,0,259183.300,2296,86368,0,1205.568289118
1400,-5872006.305612,-16264112.31723,24028145.43646,0,0,0,-0.1093631399586,0.08004795616904,27969977.41629,28310549.6563105,148772861.7175,-0.001136001047548,0,0,0,7.693681472963,4.844646880853e-82,0,-2.886316941134,0.07988941742912,-6.054972311262,1.093057974894,1.307998021612,-5.575381288775,-33366.1773412,6349.372433499,0,0,259183.400,2296,86368,0,1305.566171193
