Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-4108436.125048,-16220666.83918,20374602.69615,0,0,0,-0.05419741976633,0.1199117972429,24304879.62373,24299615.7192809,127695266.7751,1.758252132859e-05,0,0,0,7.20284269717,3.45458696014e-82,0,-2.831246031115,0.11972714099,-5.613000331348,1.988972556195,1.276018510692,-7.351449872493,-37118.67314124,7063.448641449,0,0,259182.500,2296,86368,0,418.9452066894
600,-4108186.643183,-16220579.26221,20374719.79691,0,0,0,-0.05420878871058,0.1198157630881,24305585.97193,24300322.0681313,127698978.6557,1.758252158212e-05,0,0,0,7.203568898866,3.456570891635e-82,0,-2.831244516963,0.1196310484132,-5.61406109604,1.988940665944,1.276014973591,-7.353010253189,-37118.93940166,7063.499309123,0,0,259182.600,2296,86368,0,518.9428505632
700,-4107937.159366,-16220491.68622,20374836.89324,0,0,0,-0.05422015803887,0.1197197322652,24306292.32519,24301028.4220438,127702690.5629,1.758252183564e-05,0,0,0,7.204295197169,3.458557343287e-82,0,-2.831242998616,0.1195349588772,-5.615121827164,1.988908790402,1.276011439409,-7.354570390847,-37119.20525098,7063.549898565,0,0,259182.700,2296,86368,0,618.9404944202
800,-4107687.673597,-16220404.1112,20374953.98514,0,0,0,-0.05423152775193,0.1196237047743,24306998.6835,24301734.7810105,127706402.4967,1.758252208917e-05,0,0,0,7.205021592139,3.460546319842e-82,0,-2.831241476275,0.1194388732024,-5.616182515666,1.988876926761,1.276007908145,-7.356130276427,-37119.47060109,7063.600393012,0,0,259182.800,2296,86368,0,718.9381382603
900,-4107438.185876,-16220316.53716,20375071.0726,0,0,0,-0.05424289785048,0.1195276806151,24307705.04687,24302441.1450234,127710114.457,1.758252234268e-05,0,0,0,7.205748083839,3.462537826053e-82,0,-2.831239948083,0.1193427907694,-5.617243168381,1.988845036154,1.276004379799,-7.357689916779,-37119.73554988,7063.650811091,0,0,259182.900,2296,86368,0,818.9357820835
1000,-4107188.696203,-16220228.96409,20375188.15564,0,0,0,-0.05425426833526,0.1194316597875,24308411.41527,24303147.5138201,127713826.4451,1.75825225962e-05,0,0,0,7.20621991249,3.464531866682e-82,0,-2.831238419475,0.1192467117966,-5.618303782898,1.988813165302,1.27600085437,-7.35924930951,-37120.66947774,7063.828531653,0,0,259183.000,2296,86368,0,918.9334258909
1100,-4106939.204578,-16220141.39199,20375305.23424,0,0,0,-0.05426563920701,0.1193356422914,24309117.7887,24303853.8879021,127717538.4584,1.758252284971e-05,0,0,0,7.206946561467,3.466528446508e-82,0,-2.83123688502,0.1191506358624,-5.619364363872,1.988781274439,1.275997331859,-7.360808459288,-37120.2642533,7063.751420006,0,0,259183.100,2296,86368,0,1018.931069681
1200,-4106689.711002,-16220053.82087,20375422.30841,0,0,0,-0.05427701046645,0.1192396281267,24309824.16715,24304560.2670069,127721250.498,1.758252310322e-05,0,0,0,7.207673307356,3.468527570317e-82,0,-2.831235346774,0.1190545634151,-5.620424906355,1.98874940567,1.275993812264,-7.36236736118,-37120.52791004,7063.801592216,0,0,259183.200,2296,86368,0,1118.928713453
1300,-4106440.215474,-16219966.25072,20375539.37815,0,0,0,-0.05428838211431,0.1191436172931,24310530.55062,24305266.6511266,127724962.5639,1.758252335673e-05,0,0,0,7.208400150218,3.470529242906e-82,0,-2.831233804048,0.1189584940871,-5.621485414404,1.988717535077,1.275990295587,-7.363926019258,-37120.7913025,7063.851714134,0,0,259183.300,2296,86368,0,1218.92635721
1400,-4106190.717994,-16219878.68155,20375656.44346,0,0,0,-0.05429975415132,0.1190476097907,24311236.9391,24305973.0402535,127728674.6562,1.758252361024e-05,0,0,0,7.209127090115,3.472533469088e-82,0,-2.831232257586,0.1188624283979,-5.622545882284,1.988685648926,1.275986781825,-7.365484427804,-37121.05416639,7063.90173547,0,0,259183.400,2296,86368,0,1318.924000949
1500,-4105941.218562,-16219791.11335,20375773.50434,0,0,0,-0.05431112657823,0.1189516056192,24311943.33257,24306679.4343797,127732386.7748,1.758252386374e-05,0,0,0,7.20985412711,3.474540253682e-82,0,-2.831230705041,0.1187663657127,-5.623606317002,1.988653777529,1.27598327098,-7.367042593839,-37121.31667791,7063.95168975,0,0,259183.500,2296,86368,0,1418.921644672
1600,-4105691.717179,-16219703.54612,20375890.56079,0,0,0,-0.05432249939574,0.1188556047785,24312649.73104,24307385.8334974,127736098.9195,1.758252411724e-05,0,0,0,7.210581261264,3.476549601522e-82,0,-2.831229152493,0.1186703068003,-5.624666710074,1.988621886045,1.275979763051,-7.368600508894,-37121.57866085,7064.001543447,0,0,259183.600,2296,86368,0,1518.919288378
1700,-4105442.213844,-16219615.97987,20376007.6128,0,0,0,-0.05433387260461,0.1187596072685,24313356.13449,24308092.2375987,127739811.0905,1.758252437073e-05,0,0,0,7.21130849264,3.478561517452e-82,0,-2.831227593847,0.1185742506167,-5.625727073022,1.988590014228,1.275976258038,-7.370158184507,-37121.84035994,7064.051343128,0,0,259183.700,2296,86368,0,1618.916932068
1800,-4105192.708558,-16219528.4146,20376124.66039,0,0,0,-0.05434524620556,0.1186636130891,24314062.54291,24308798.6466758,127743523.2876,1.758252462423e-05,0,0,0,7.2120358213,3.480576006329e-82,0,-2.83122603117,0.1184781981566,-5.626787394866,1.988558149212,1.27597275594,-7.371715609712,-37122.10171644,7064.101077616,0,0,259183.800,2296,86368,0,1718.914575741
1900,-4104943.20132,-16219440.85029,20376241.70354,0,0,0,-0.05435662019931,0.1185676222401,24314768.95631,24309505.0607208,127747235.5108,1.758252487772e-05,0,0,0,7.212763247306,3.482593073018e-82,0,-2.831224464068,0.1183821487807,-5.627847682664,1.988526263823,1.275969256758,-7.373272791584,-37122.36256395,7064.150715247,0,0,259183.900,2296,86368,0,1818.912219397
2000,-4104693.692131,-16219353.28696,20376358.74226,0,0,0,-0.05436799458661,0.1184716347215,24315475.37466,24310211.4794708,127750947.7615,1.75825251312e-05,0,0,0,7.213235631406,3.4846127224e-82,0,-2.83122289182,0.1182861028457,-5.628907932477,1.98849439295,1.27596576049,-7.374829726198,-37123.29334977,7064.327837899,0,0,259184.000,2296,86384,0,1918.909863038
2100,-4104444.180991,-16219265.72461,20376475.77655,0,0,0,-0.05437936936818,0.118375650533,24316181.79797,24310917.9034283,127754660.0368,1.758252538469e-05,0,0,0,7.213963215883,3.486634959367e-82,0,-2.831221318584,0.1181900602804,-5.629968145093,1.988462505197,1.275962267137,-7.376386414357,-37122.88300607,7064.249752089,0,0,259184.100,2296,86384,0,2018.907506661
2200,-4104194.667899,-16219178.16323,20376592.8064,0,0,0,-0.05439074454475,0.1182796696745,24316888.22622,24311624.3323302,127758372.338,1.758252563817e-05,0,0,0,7.214690897889,3.488659788819e-82,0,-2.831219740004,0.1180940210071,-5.631028321368,1.988430636127,1.275958776699,-7.377942856933,-37123.14268878,7064.299168065,0,0,259184.200,2296,86384,0,2118.905150268
2300,-4103945.152856,-16219090.60283,20376709.83183,0,0,0,-0.05440212011706,0.118183692146,24317594.65941,24312330.7661688,127762084.6653,1.758252589165e-05,0,0,0,7.215418677487,3.490687215669e-82,0,-2.831218157147,0.1179979851265,-5.632088460192,1.988398767865,1.275955289175,-7.379499052831,-37123.40193101,7064.348500222,0,0,259184.300,2296,86384,0,2218.902793858
2400,-4103695.635862,-16219003.0434,20376826.85282,0,0,0,-0.05441349608583,0.1180877179472,24318301.09752,24313037.2049362,127765797.0184,1.758252614512e-05,0,0,0,7.21614655474,3.492717244846e-82,0,-2.831216570154,0.1179019527236,-5.633148560625,1.988366881689,1.275951804564,-7.381055001126,-37123.66068383,7064.397739246,0,0,259184.400,2296,86384,0,2318.900437432
2500,-4103446.116917,-16218915.48494,20376943.86938,0,0,0,-0.0544248724518,0.1179917470781,24319007.54056,24313743.6486247,127769509.3974,1.75825263986e-05,0,0,0,7.21687452971,3.494749881283e-82,0,-2.831214979252,0.1178059234649,-5.634208626349,1.988335013834,1.275948322868,-7.382610705516,-37123.91915279,7064.446924254,0,0,259184.500,2296,86384,0,2418.89808099
2600,-4103196.596021,-16218827.92746,20377060.88151,0,0,0,-0.05443624921568,0.1178957795385,24319713.98851,24314450.0972262,127773221.8022,1.758252665207e-05,0,0,0,7.21760260246,3.496785129934e-82,0,-2.83121338262,0.1177098970936,-5.635268660199,1.988303125255,1.275944844085,-7.38416616885,-37124.17704424,7064.495999366,0,0,259184.600,2296,86384,0,2518.895724531
2700,-4102947.073174,-16218740.37096,20377177.88921,0,0,0,-0.05444762637823,0.1177998153283,24320420.44136,24315156.5507332,127776934.2328,1.758252690553e-05,0,0,0,7.218330773052,3.498822995757e-82,0,-2.831211785351,0.1176138749633,-5.636328647234,1.988271250977,1.275941368215,-7.385721376202,-37124.43464205,7064.545018598,0,0,259184.700,2296,86384,0,2618.893368056
2800,-4102697.548376,-16218652.81542,20377294.89248,0,0,0,-0.05445900394017,0.1177038544473,24321126.89911,24315863.0091376,127780646.6891,1.7582527159e-05,0,0,0,7.219059041549,3.500863483725e-82,0,-2.831210182486,0.1175178555808,-5.637388603935,1.988239390608,1.275937895258,-7.38727634407,-37124.69176023,7064.593946561,0,0,259184.800,2296,86384,0,2718.891011564
2900,-4102448.021627,-16218565.26087,20377411.89131,0,0,0,-0.05447038190223,0.1176078968955,24321833.36176,24316569.4724318,127784359.1711,1.758252741246e-05,0,0,0,7.219787408014,3.502906598824e-82,0,-2.831208575869,0.1174218392846,-5.638448526566,1.988207506268,1.275934425214,-7.388831068733,-37124.94844773,7064.642792568,0,0,259184.900,2296,86384,0,2818.888655056
3000,-4102198.492927,-16218477.70729,20377528.88571,0,0,0,-0.05448176026513,0.1175119426726,24322539.82928,24317275.9403522,127788071.6801,1.758252766592e-05,0,0,0,7.220260353294,3.504952346049e-82,0,-2.83120696454,0.1173258270803,-5.639508404027,1.98817563717,1.275930958082,-7.390385539104,-37125.87617961,7064.819334075,0,0,259185.000,2296,86384,0,2918.886298533
3100,-4101948.962277,-16218390.15468,20377645.87568,0,0,0,-0.05449313902961,0.1174159917787,24323246.30168,24317982.4134023,127791784.2134,1.758252791938e-05,0,0,0,7.220988879433,3.50700073041e-82,0,-2.831205347914,0.1172298174271,-5.640568253326,1.988143748997,1.275927493862,-7.391939772209,-37125.46068728,7064.740268514,0,0,259185.100,2296,86384,0,3018.883941992
3200,-4101699.429676,-16218302.60305,20377762.86122,0,0,0,-0.0545045181964,0.1173200442134,24323952.77894,24318688.8913185,127795496.7723,1.758252817283e-05,0,0,0,7.221717503725,3.509051756925e-82,0,-2.831203730284,0.1171338116045,-5.64162806034,1.988111883959,1.275924032554,-7.393493753939,-37125.71620997,7064.788892865,0,0,259185.200,2296,86384,0,3118.881585436
3300,-4101449.895124,-16218215.05239,20377879.84233,0,0,0,-0.05451589776623,0.1172240999768,24324659.26106,24319395.3740932,127799209.3566,1.758252842628e-05,0,0,0,7.222446226232,3.51110543063e-82,0,-2.831202107257,0.1170378091309,-5.642687830383,1.98808001572,1.275920574158,-7.395047489623,-37125.97125304,7064.837425947,0,0,259185.300,2296,86384,0,3218.879228863
3400,-4101200.358621,-16218127.50271,20377996.819,0,0,0,-0.05452727773984,0.1171281590686,24325365.74803,24320101.8617184,127802921.9665,1.758252867973e-05,0,0,0,7.223175047018,3.513161756568e-82,0,-2.831200480277,0.1169418096388,-5.643747567515,1.988048132756,1.275917118674,-7.396600983336,-37126.22592415,7064.885888249,0,0,259185.400,2296,86384,0,3318.876872274
3500,-4100950.820168,-16218039.954,20378113.79125,0,0,0,-0.05453865811794,0.1170322214888,24326072.23985,24320808.3541865,127806634.6018,1.758252893317e-05,0,0,0,7.223903966146,3.515220739794e-82,0,-2.831198849213,0.1168458134944,-5.644807267691,1.988016265707,1.2759136661,-7.39815423105,-37126.48024289,7064.934283495,0,0,259185.500,2296,86384,0,3418.874515668
3600,-4100701.279765,-16217952.40627,20378230.75906,0,0,0,-0.05455003890128,0.1169362872372,24326778.7365,24321514.8514894,127810347.2625,1.758252918661e-05,0,0,0,7.224632983678,3.517282385379e-82,0,-2.831197213717,0.1167498208272,-5.645866929482,1.987984378225,1.275910216438,-7.399707231349,-37126.73407221,7064.982585609,0,0,259185.600,2296,86384,0,3518.872159047
3700,-4100451.737411,-16217864.85951,20378347.72244,0,0,0,-0.05456142009057,0.1168403563137,24327485.23798,24322221.3536195,127814059.9486,1.758252944005e-05,0,0,0,7.225362099678,3.519346698402e-82,0,-2.831195572588,0.1166538316581,-5.646926552658,1.987952508845,1.275906769686,-7.40125998402,-37126.98756873,7065.030824393,0,0,259185.700,2296,86384,0,3618.86980241
3800,-4100202.193107,-16217777.31373,20378464.68138,0,0,0,-0.05457280168656,0.1167444287181,24328191.74427,24322927.8605689,127817772.66,1.758252969349e-05,0,0,0,7.22609131421,3.521413683958e-82,0,-2.831193931162,0.1165578451866,-5.647986146055,1.987920647186,1.275903325844,-7.402812497912,-37127.24064436,7065.078983083,0,0,259185.800,2296,86384,0,3718.867445756
3900,-4099952.646852,-16217689.76892,20378581.6359,0,0,0,-0.05458418368997,0.1166485044503,24328898.25538,24323634.3723298,127821485.3967,1.758252994692e-05,0,0,0,7.226820627336,3.523483347153e-82,0,-2.831192284033,0.1164618627724,-5.649045694664,1.987888766129,1.275899884913,-7.404364758034,-37127.4932893,7065.127059817,0,0,259185.900,2296,86384,0,3818.865089087
4000,-4099703.098647,-16217602.22509,20378698.58598,0,0,0,-0.05459556610154,0.1165525835102,24329604.77129,24324340.8886385,127825198.16,1.758253020035e-05,0,0,0,7.227294139577,3.525555693102e-82,0,-2.831190632768,0.1163658835639,-5.650105207884,1.987856896553,1.275896446891,-7.405916773799,-37128.41789872,7065.303007141,0,0,259186.000,2296,86384,0,3918.862732402
4100,-4099453.548492,-16217514.68224,20378815.53163,0,0,0,-0.05460694892199,0.1164566658977,24330311.292,24325047.4099989,127828910.9472,1.758253045378e-05,0,0,0,7.22802361359,3.527630726934e-82,0,-2.831188977297,0.1162699073691,-5.651164687836,1.98782501089,1.275893011779,-7.407468547344,-37127.99733607,7065.222976729,0,0,259186.100,2296,86384,0,4018.8603757
4200,-4099203.996387,-16217427.14036,20378932.47285,0,0,0,-0.05461833215205,0.1163607516125,24331017.81749,24325753.9361473,127832623.7595,1.75825307072e-05,0,0,0,7.228753186385,3.529708453794e-82,0,-2.831187318082,0.1161739348625,-5.652224127075,1.987793145869,1.275889579577,-7.409020071237,-37128.24873791,7065.270816907,0,0,259186.200,2296,86384,0,4118.858018983
4300,-4098954.442332,-16217339.59945,20379049.40964,0,0,0,-0.05462971579245,0.1162648406547,24331724.34777,24326460.467076,127836336.5969,1.758253096062e-05,0,0,0,7.229482858023,3.531788878835e-82,0,-2.831185652909,0.1160779655145,-5.653283531446,1.987761280458,1.275886150283,-7.410571351341,-37128.49971884,7065.318576992,0,0,259186.300,2296,86384,0,4218.855662249
4400,-4098704.886326,-16217252.05952,20379166.34199,0,0,0,-0.05464109984393,0.1161689330241,24332430.88281,24327167.0027771,127840049.4594,1.758253121404e-05,0,0,0,7.230212628569,3.533872007224e-82,0,-2.831183987175,0.1159819991282,-5.654342903123,1.987729400443,1.275882723899,-7.412122389844,-37128.75029846,7065.366260707,0,0,259186.400,2296,86384,0,4318.8533055
4500,-4098455.328371,-16217164.52057,20379283.26991,0,0,0,-0.05465248430721,0.1160730287204,24333137.42263,24327873.5432428,127843762.3469,1.758253146745e-05,0,0,0,7.230942498086,3.535957844141e-82,0,-2.831182315985,0.1158860365201,-5.655402233092,1.987697532303,1.275879300423,-7.413673177747,-37129.00045718,7065.413864329,0,0,259186.500,2296,86384,0,4418.850948735
4600,-4098205.768465,-16217076.98259,20379400.1934,0,0,0,-0.05466386918302,0.1159771277437,24333843.9672,24328580.0884653,127847475.2595,1.758253172087e-05,0,0,0,7.231672466639,3.538046394777e-82,0,-2.831180640721,0.1157900773513,-5.656461525095,1.987665646621,1.275875879856,-7.415223718808,-37129.25012649,7065.461374819,0,0,259186.600,2296,86384,0,4518.848591953
4700,-4097956.20661,-16216989.44558,20379517.11246,0,0,0,-0.0546752544721,0.1158812300937,24334550.51651,24329286.6384368,127851188.1969,1.758253197428e-05,0,0,0,7.23240253429,3.540137664336e-82,0,-2.831178961429,0.1156941210274,-5.657520785692,1.987633778212,1.275872462196,-7.416774019601,-37129.49948258,7065.508825704,0,0,259186.700,2296,86384,0,4618.846235156
4800,-4097706.642805,-16216901.90956,20379634.02708,0,0,0,-0.05468664017517,0.1157853357704,24335257.07057,24329993.1931495,127854901.1593,1.758253222768e-05,0,0,0,7.233132701103,3.542231658033e-82,0,-2.831177276144,0.1155981681741,-5.658580007978,1.987601919104,1.275869047445,-7.418324073238,-37129.74844713,7065.556202084,0,0,259186.800,2296,86384,0,4718.843878343
4900,-4097457.07705,-16216814.3745,20379750.93727,0,0,0,-0.05469802629297,0.1156894447736,24335963.62936,24330699.7525954,127858614.1466,1.758253248109e-05,0,0,0,7.233862967143,3.544328381102e-82,0,-2.831175590226,0.1155022187084,-5.65963919287,1.987570038376,1.275865635601,-7.419873880649,-37129.99695164,7065.603490919,0,0,259186.900,2296,86384,0,4818.841521515
5000,-4097207.509346,-16216726.84043,20379867.84303,0,0,0,-0.05470941282621,0.1155935571031,24336670.19288,24331406.3165107,127862327.1601,1.758253273449e-05,0,0,0,7.234337052173,3.54642783878e-82,0,-2.831173898899,0.1154062725864,-5.660698340848,1.987538171644,1.275862226664,-7.421423442333,-37130.91837987,7065.778832883,0,0,259187.000,2296,86384,0,4918.839164671
5100,-4096957.939692,-16216639.30733,20379984.74436,0,0,0,-0.05472079977564,0.1154976727589,24337376.76111,24332112.8854,127866040.197,1.758253298789e-05,0,0,0,7.235067480322,3.548530036325e-82,0,-2.831172203539,0.1153103300201,-5.661757449577,1.987506288462,1.275858820635,-7.422972755966,-37130.49267838,7065.697824582,0,0,259187.100,2296,86384,0,5018.836807811
5200,-4096708.368088,-16216551.7752,20380101.64125,0,0,0,-0.05473218714199,0.1154017917408,24338083.33406,24332819.4589992,127869753.2586,1.758253324128e-05,0,0,0,7.235798007886,3.550634979003e-82,0,-2.831170503864,0.1152143906697,-5.662816522804,1.987474423846,1.275855417512,-7.424521825314,-37130.74005724,7065.744899213,0,0,259187.200,2296,86384,0,5118.834450935
5300,-4096458.794534,-16216464.24405,20380218.53372,0,0,0,-0.05474357492598,0.1153059140487,24338789.91171,24333526.0373005,127873466.345,1.758253349468e-05,0,0,0,7.236528634927,3.552742672092e-82,0,-2.831168800038,0.1151184541674,-5.663875564592,1.98744256095,1.275852017296,-7.426070654452,-37130.98697604,7065.7918863,0,0,259187.300,2296,86384,0,5218.832094044
5400,-4096209.219031,-16216376.71388,20380335.42175,0,0,0,-0.05475496312834,0.1152100396824,24339496.49405,24334232.6202962,127877179.456,1.758253374807e-05,0,0,0,7.237259361511,3.554853120888e-82,0,-2.831167090657,0.1150225214677,-5.664934564403,1.987410680054,1.275848619986,-7.427619232859,-37131.23341523,7065.838782117,0,0,259187.400,2296,86384,0,5318.829737137
5500,-4095959.641579,-16216289.18468,20380452.30534,0,0,0,-0.0547663517498,0.1151141686418,24340203.08107,24334939.2079784,127880892.5916,1.758253400145e-05,0,0,0,7.2379901877,3.556966330694e-82,0,-2.831165380884,0.114926591948,-5.665993529109,1.987378814898,1.275845225582,-7.429167567423,-37131.47948245,7065.885607153,0,0,259187.500,2296,86384,0,5418.827380214
