epoch_s,sat_id,gps_tow,d_rx_hz,d_truth_hz,raw_resid_hz,common_mode_hz,corrected_resid_hz,excluded_outlier
29.000,E12,259229.000,14623.000,15015.385,-392.385,-392.933,0.548,0
29.000,E19,259229.000,12787.000,13182.602,-395.602,-392.933,-2.669,0
29.000,E21,259229.000,-16125.000,-15721.341,-403.659,-392.933,-10.725,0
29.000,E26,259229.000,-27658.000,-27264.519,-393.481,-392.933,-0.548,0
29.000,E33,259229.000,-10202.000,-9819.418,-382.582,-392.933,10.351,0
29.000,G02,259229.000,3380.000,3766.481,-386.481,-392.933,6.452,0
29.000,G06,259229.000,12340.000,12728.740,-388.740,-392.933,4.193,0
29.000,G07,259229.000,7311.000,7704.570,-393.570,-392.933,-0.637,0
29.000,G09,259229.000,28123.000,28523.284,-400.284,-392.933,-7.351,0
29.000,G11,259229.000,-4487.000,-4106.461,-380.539,-392.933,12.394,0
29.000,G13,259229.000,-9693.000,-9293.138,-399.862,-392.933,-6.929,0
29.000,G15,259229.000,-6554.000,-6151.015,-402.985,-392.933,-10.052,0
29.000,G20,259229.000,22794.000,23185.658,-391.658,-392.933,1.275,0
29.000,G30,259229.000,2305.000,2697.040,-392.040,-392.933,0.893,0
30.000,E12,259230.000,14589.000,14981.362,-392.362,-392.970,0.608,0
30.000,E19,259230.000,12759.000,13155.056,-396.056,-392.970,-3.086,0
30.000,E21,259230.000,-16135.000,-15731.052,-403.948,-392.970,-10.978,0
30.000,E26,259230.000,-27689.000,-27295.332,-393.668,-392.970,-0.698,0
30.000,E33,259230.000,-10254.000,-9871.877,-382.123,-392.970,10.847,0
30.000,G02,259230.000,3333.000,3719.149,-386.149,-392.970,6.821,0
30.000,G06,259230.000,12298.000,12687.507,-389.507,-392.970,3.463,0
30.000,G07,259230.000,7278.000,7671.527,-393.527,-392.970,-0.557,0
30.000,G09,259230.000,28104.000,28504.089,-400.089,-392.970,-7.119,0
30.000,G11,259230.000,-4543.000,-4162.709,-380.291,-392.970,12.679,0
30.000,G13,259230.000,-9711.000,-9311.614,-399.386,-392.970,-6.416,0
30.000,G15,259230.000,-6566.000,-6163.007,-402.993,-392.970,-10.023,0
30.000,G20,259230.000,22758.000,23149.437,-391.437,-392.970,1.533,0
30.000,G30,259230.000,2270.000,2662.413,-392.413,-392.970,0.557,0
31.000,E12,259231.000,14554.000,14947.305,-393.305,-393.389,0.084,0
31.000,E19,259231.000,12731.000,13127.488,-396.488,-393.389,-3.099,0
31.000,E21,259231.000,-16145.000,-15740.747,-404.253,-393.389,-10.864,0
31.000,E26,259231.000,-27720.000,-27326.093,-393.907,-393.389,-0.518,0
31.000,E33,259231.000,-10307.000,-9924.313,-382.687,-393.389,10.702,0
31.000,G02,259231.000,3285.000,3671.802,-386.802,-393.389,6.587,0
31.000,G06,259231.000,12257.000,12646.240,-389.240,-393.389,4.149,0
31.000,G07,259231.000,7245.000,7638.473,-393.473,-393.389,-0.084,0
31.000,G09,259231.000,28084.000,28484.858,-400.858,-393.389,-7.469,0
31.000,G11,259231.000,-4600.000,-4218.947,-381.053,-393.389,12.337,0
31.000,G13,259231.000,-9730.000,-9330.084,-399.916,-393.389,-6.527,0
31.000,G15,259231.000,-6578.000,-6175.000,-403.000,-393.389,-9.611,0
31.000,G20,259231.000,22721.000,23113.167,-392.167,-393.389,1.222,0
31.000,G30,259231.000,2235.000,2627.781,-392.781,-393.389,0.608,0
32.000,E12,259232.000,14520.000,14913.217,-393.217,-393.217,0.000,0
32.000,E19,259232.000,12704.000,13099.898,-395.898,-393.217,-2.681,0
32.000,E21,259232.000,-16154.000,-15750.425,-403.575,-393.217,-10.358,0
32.000,E26,259232.000,-27750.000,-27356.804,-393.196,-393.217,0.021,0
32.000,E33,259232.000,-10359.000,-9976.727,-382.273,-393.217,10.944,0
32.000,G02,259232.000,3238.000,3624.440,-386.440,-393.217,6.777,0
32.000,G06,259232.000,12216.000,12604.941,-388.941,-393.217,4.277,0
32.000,G07,259232.000,7212.000,7605.406,-393.406,-393.217,-0.189,0
32.000,G09,259232.000,28065.000,28465.591,-400.591,-393.217,-7.374,0
32.000,G11,259232.000,-4656.000,-4275.177,-380.823,-393.217,12.395,0
32.000,G13,259232.000,-9748.000,-9348.546,-399.454,-393.217,-6.236,0
32.000,G15,259232.000,-6590.000,-6186.992,-403.008,-393.217,-9.790,0
32.000,G20,259232.000,22685.000,23076.846,-391.846,-393.217,1.371,0
32.000,G22,259232.000,-1703.000,-1307.856,-395.144,-393.217,-1.926,0
32.000,G30,259232.000,2201.000,2593.146,-392.146,-393.217,1.071,0
33.000,E12,259233.000,14487.000,14879.097,-392.097,-393.328,1.232,0
33.000,E19,259233.000,12676.000,13072.287,-396.287,-393.328,-2.959,0
33.000,E21,259233.000,-16164.000,-15760.087,-403.913,-393.328,-10.585,0
33.000,E26,259233.000,-27781.000,-27387.464,-393.536,-393.328,-0.208,0
33.000,E33,259233.000,-10412.000,-10029.119,-382.881,-393.328,10.447,0
33.000,G02,259233.000,3191.000,3577.064,-386.064,-393.328,7.264,0
33.000,G06,259233.000,12175.000,12563.608,-388.608,-393.328,4.721,0
33.000,G07,259233.000,7179.000,7572.328,-393.328,-393.328,0.000,0
33.000,G09,259233.000,28046.000,28446.289,-400.289,-393.328,-6.960,0
33.000,G11,259233.000,-4712.000,-4331.398,-380.602,-393.328,12.727,0
33.000,G13,259233.000,-9766.000,-9367.003,-398.997,-393.328,-5.669,0
33.000,G15,259233.000,-6602.000,-6198.985,-403.015,-393.328,-9.687,0
33.000,G20,259233.000,22649.000,23040.477,-391.477,-393.328,1.852,0
33.000,G22,259233.000,-1730.000,-1334.928,-395.072,-393.328,-1.743,0
33.000,G30,259233.000,2166.000,2558.507,-392.507,-393.328,0.821,0
34.000,E12,259234.000,14452.000,14844.944,-392.944,-393.239,0.294,0
34.000,E19,259234.000,12649.000,13044.654,-395.654,-393.239,-2.416,0
34.000,E21,259234.000,-16173.000,-15769.732,-403.268,-393.239,-10.029,0
34.000,E26,259234.000,-27812.000,-27418.073,-393.927,-393.239,-0.689,0
34.000,E33,259234.000,-10464.000,-10081.488,-382.512,-393.239,10.727,0
34.000,G02,259234.000,3144.000,3529.673,-385.673,-393.239,7.566,0
34.000,G06,259234.000,12133.000,12522.241,-389.241,-393.239,3.997,0
34.000,G07,259234.000,7146.000,7539.239,-393.239,-393.239,0.000,0
34.000,G09,259234.000,28027.000,28426.950,-399.950,-393.239,-6.711,0
34.000,G11,259234.000,-4768.000,-4387.610,-380.390,-393.239,12.848,0
34.000,G13,259234.000,-9785.000,-9385.452,-399.548,-393.239,-6.309,0
34.000,G15,259234.000,-6614.000,-6210.977,-403.023,-393.239,-9.784,0
34.000,G20,259234.000,22612.000,23004.057,-392.057,-393.239,1.182,0
34.000,G22,259234.000,-1757.000,-1361.990,-395.010,-393.239,-1.772,0
34.000,G30,259234.000,2131.000,2523.864,-392.864,-393.239,0.374,0
35.000,E12,259235.000,14418.000,14810.760,-392.760,-393.137,0.378,0
35.000,E19,259235.000,12621.000,13017.000,-396.000,-393.137,-2.863,0
35.000,E21,259235.000,-16183.000,-15779.361,-403.639,-393.137,-10.502,0
35.000,E26,259235.000,-27842.000,-27448.630,-393.370,-393.137,-0.233,0
35.000,E33,259235.000,-10516.000,-10133.835,-382.165,-393.137,10.972,0
35.000,G02,259235.000,3096.000,3482.267,-386.267,-393.137,6.870,0
35.000,G06,259235.000,12092.000,12480.842,-388.842,-393.137,4.295,0
35.000,G07,259235.000,7113.000,7506.137,-393.137,-393.137,0.000,0
35.000,G09,259235.000,28008.000,28407.575,-399.575,-393.137,-6.438,0
35.000,G11,259235.000,-4824.000,-4443.812,-380.188,-393.137,12.949,0
35.000,G13,259235.000,-9803.000,-9403.895,-399.105,-393.137,-5.968,0
35.000,G15,259235.000,-6626.000,-6222.969,-403.031,-393.137,-9.894,0
35.000,G20,259235.000,22576.000,22967.588,-391.588,-393.137,1.549,0
35.000,G22,259235.000,-1784.000,-1389.041,-394.959,-393.137,-1.822,0
35.000,G30,259235.000,2097.000,2489.217,-392.217,-393.137,0.920,0
36.000,E12,259236.000,14384.000,14776.543,-392.543,-393.863,1.320,0
36.000,E19,259236.000,12593.000,12989.324,-396.324,-393.863,-2.461,0
36.000,E21,259236.000,-16193.000,-15788.973,-404.027,-393.863,-10.164,0
36.000,E26,259236.000,-27873.000,-27479.137,-393.863,-393.863,0.000,0
36.000,E33,259236.000,-10569.000,-10186.158,-382.842,-393.863,11.022,0
36.000,G02,259236.000,3048.000,3434.848,-386.848,-393.863,7.015,0
36.000,G06,259236.000,12050.000,12439.410,-389.410,-393.863,4.453,0
36.000,G07,259236.000,7079.000,7473.024,-394.024,-393.863,-0.161,0
36.000,G09,259236.000,27988.000,28388.164,-400.164,-393.863,-6.301,0
36.000,G11,259236.000,-4881.000,-4500.005,-380.995,-393.863,12.868,0
