epoch_s,sat_id,gps_tow,d_rx_hz,d_truth_hz,raw_resid_hz,common_mode_hz,corrected_resid_hz,excluded
30.000,C43,259230.000,16851.000,17248.799,-397.799,-395.527,-2.271,0
30.000,E27,259230.000,12368.000,12775.250,-407.250,-395.527,-11.723,0
30.000,E33,259230.000,-10257.000,-9871.877,-385.123,-395.527,10.404,0
30.000,G02,259230.000,3331.000,3719.149,-388.149,-395.527,7.378,0
30.000,G06,259230.000,12296.000,12687.507,-391.507,-395.527,4.020,0
30.000,G07,259230.000,7276.000,7671.527,-395.527,-395.527,0.000,0
30.000,G09,259230.000,28102.000,28504.089,-402.089,-395.527,-6.562,0
30.000,G11,259230.000,-4546.000,-4162.709,-383.291,-395.527,12.236,0
30.000,G13,259230.000,-9713.000,-9311.614,-401.386,-395.527,-5.859,0
30.000,G15,259230.000,-6568.000,-6163.007,-404.993,-395.527,-9.465,0
30.000,G20,259230.000,22756.000,23149.437,-393.437,-395.527,2.090,0
31.000,C43,259231.000,16830.000,17228.447,-398.447,-395.473,-2.975,0
31.000,E27,259231.000,12360.000,12767.411,-407.411,-395.473,-11.938,0
31.000,E33,259231.000,-10309.000,-9924.313,-384.687,-395.473,10.786,0
31.000,G02,259231.000,3284.000,3671.802,-387.802,-395.473,7.670,0
31.000,G06,259231.000,12255.000,12646.240,-391.240,-395.473,4.232,0
31.000,G07,259231.000,7243.000,7638.473,-395.473,-395.473,0.000,0
31.000,G09,259231.000,28083.000,28484.858,-401.858,-395.473,-6.386,0
31.000,G11,259231.000,-4602.000,-4218.947,-383.053,-395.473,12.420,0
31.000,G13,259231.000,-9732.000,-9330.084,-401.916,-395.473,-6.444,0
31.000,G15,259231.000,-6580.000,-6175.000,-405.000,-395.473,-9.527,0
31.000,G20,259231.000,22719.000,23113.167,-394.167,-395.473,1.306,0
32.000,C43,259232.000,16810.000,17208.076,-398.076,-395.406,-2.670,0
32.000,E27,259232.000,12352.000,12759.560,-407.560,-395.406,-12.153,0
32.000,E33,259232.000,-10361.000,-9976.727,-384.273,-395.406,11.134,0
32.000,G02,259232.000,3236.000,3624.440,-388.440,-395.406,6.966,0
32.000,G06,259232.000,12214.000,12604.941,-390.941,-395.406,4.466,0
32.000,G07,259232.000,7210.000,7605.406,-395.406,-395.406,0.000,0
32.000,G09,259232.000,28063.000,28465.591,-402.591,-395.406,-7.185,0
32.000,G11,259232.000,-4658.000,-4275.177,-382.823,-395.406,12.584,0
32.000,G13,259232.000,-9750.000,-9348.546,-401.454,-395.406,-6.047,0
32.000,G15,259232.000,-6592.000,-6186.992,-405.008,-395.406,-9.601,0
32.000,G20,259232.000,22683.000,23076.846,-393.846,-395.406,1.560,0
33.000,C43,259233.000,16790.000,17187.685,-397.685,-395.328,-2.356,0
33.000,E27,259233.000,12344.000,12751.697,-407.697,-395.328,-12.369,0
33.000,E33,259233.000,-10414.000,-10029.119,-384.881,-395.328,10.447,0
33.000,G02,259233.000,3189.000,3577.064,-388.064,-395.328,7.264,0
33.000,G06,259233.000,12173.000,12563.608,-390.608,-395.328,4.721,0
33.000,G07,259233.000,7177.000,7572.328,-395.328,-395.328,0.000,0
33.000,G09,259233.000,28044.000,28446.289,-402.289,-395.328,-6.960,0
33.000,G11,259233.000,-4714.000,-4331.398,-382.602,-395.328,12.727,0
33.000,G13,259233.000,-9768.000,-9367.003,-400.997,-395.328,-5.669,0
33.000,G15,259233.000,-6604.000,-6198.985,-405.015,-395.328,-9.687,0
33.000,G20,259233.000,22647.000,23040.477,-393.477,-395.328,1.852,0
34.000,C14,259234.000,17205.000,17603.240,-398.240,-397.239,-1.001,0
34.000,C43,259234.000,16769.000,17167.273,-398.273,-397.239,-1.034,0
34.000,E27,259234.000,12336.000,12743.824,-407.824,-397.239,-10.584,0
34.000,E33,259234.000,-10467.000,-10081.488,-385.512,-397.239,11.727,0
34.000,G02,259234.000,3141.000,3529.673,-388.673,-397.239,8.566,0
34.000,G06,259234.000,12131.000,12522.241,-391.241,-397.239,5.998,0
34.000,G07,259234.000,7143.000,7539.239,-396.239,-397.239,1.001,0
34.000,G09,259234.000,28024.000,28426.950,-402.950,-397.239,-5.710,0
34.000,G11,259234.000,-4771.000,-4387.610,-383.390,-397.239,13.849,0
34.000,G13,259234.000,-9788.000,-9385.452,-402.548,-397.239,-5.309,0
34.000,G15,259234.000,-6616.000,-6210.977,-405.023,-397.239,-7.784,0
34.000,G20,259234.000,22610.000,23004.057,-394.057,-397.239,3.182,0
35.000,C14,259235.000,17184.000,17582.895,-398.895,-397.489,-1.406,0
35.000,C43,259235.000,16748.000,17146.842,-398.842,-397.489,-1.352,0
35.000,E27,259235.000,12327.000,12735.939,-408.939,-397.489,-11.449,0
35.000,E33,259235.000,-10519.000,-10133.835,-385.165,-397.489,12.324,0
35.000,G02,259235.000,3093.000,3482.267,-389.267,-397.489,8.222,0
35.000,G06,259235.000,12089.000,12480.842,-391.842,-397.489,5.647,0
35.000,G07,259235.000,7110.000,7506.137,-396.137,-397.489,1.352,0
35.000,G09,259235.000,28005.000,28407.575,-402.575,-397.489,-5.086,0
35.000,G11,259235.000,-4827.000,-4443.812,-383.188,-397.489,14.301,0
35.000,G13,259235.000,-9806.000,-9403.895,-402.105,-397.489,-4.616,0
35.000,G15,259235.000,-6629.000,-6222.969,-406.031,-397.489,-8.541,0
35.000,G20,259235.000,22573.000,22967.588,-394.588,-397.489,2.901,0
36.000,C14,259236.000,17163.000,17562.521,-399.521,-398.207,-1.314,0
36.000,C43,259236.000,16727.000,17126.390,-399.390,-398.207,-1.183,0
36.000,E27,259236.000,12319.000,12728.042,-409.042,-398.207,-10.835,0
36.000,E33,259236.000,-10572.000,-10186.158,-385.842,-398.207,12.366,0
36.000,G02,259236.000,3046.000,3434.848,-388.848,-398.207,9.360,0
36.000,G06,259236.000,12047.000,12439.410,-392.410,-398.207,5.798,0
36.000,G07,259236.000,7076.000,7473.024,-397.024,-398.207,1.183,0
36.000,G09,259236.000,27985.000,28388.164,-403.164,-398.207,-4.957,0
36.000,G11,259236.000,-4884.000,-4500.005,-383.995,-398.207,14.212,0
36.000,G13,259236.000,-9825.000,-9422.331,-402.669,-398.207,-4.462,0
36.000,G15,259236.000,-6641.000,-6234.961,-406.039,-398.207,-7.832,0
36.000,G20,259236.000,22536.000,22931.069,-395.069,-398.207,3.138,0
37.000,C14,259237.000,17143.000,17542.117,-399.117,-397.909,-1.208,0
37.000,C43,259237.000,16707.000,17105.919,-398.919,-397.909,-1.010,0
37.000,E27,259237.000,12311.000,12720.135,-409.135,-397.909,-11.226,0
37.000,E33,259237.000,-10624.000,-10238.459,-385.541,-397.909,12.369,0
37.000,G02,259237.000,2998.000,3387.414,-389.414,-397.909,8.496,0
37.000,G06,259237.000,12006.000,12397.944,-391.944,-397.909,5.965,0
37.000,G07,259237.000,7043.000,7439.900,-396.900,-397.909,1.010,0
37.000,G09,259237.000,27965.000,28368.717,-403.717,-397.909,-5.808,0
37.000,G11,259237.000,-4940.000,-4556.187,-383.813,-397.909,14.097,0
37.000,G13,259237.000,-9844.000,-9440.760,-403.240,-397.909,-5.330,0
37.000,G15,259237.000,-6653.000,-6246.953,-406.047,-397.909,-8.138,0
37.000,G20,259237.000,22500.000,22894.501,-394.501,-397.909,3.408,0
38.000,C14,259238.000,17123.000,17521.684,-398.684,-397.596,-1.088,0
38.000,C43,259238.000,16687.000,17085.427,-398.427,-397.596,-0.832,0
38.000,E27,259238.000,12304.000,12712.216,-408.216,-397.596,-10.620,0
38.000,E33,259238.000,-10677.000,-10290.737,-386.263,-397.596,11.333,0
38.000,G02,259238.000,2951.000,3339.966,-388.966,-397.596,8.630,0
38.000,G06,259238.000,11964.000,12356.446,-392.446,-397.596,5.149,0
38.000,G07,259238.000,7010.000,7406.764,-396.764,-397.596,0.832,0
38.000,G09,259238.000,27946.000,28349.235,-403.235,-397.596,-5.639,0
38.000,G11,259238.000,-4996.000,-4612.360,-383.640,-397.596,13.956,0
38.000,G13,259238.000,-9862.000,-9459.183,-402.817,-397.596,-5.221,0
38.000,G15,259238.000,-6665.000,-6258.945,-406.055,-397.596,-8.459,0
38.000,G20,259238.000,22463.000,22857.884,-394.884,-397.596,2.712,0
39.000,C14,259239.000,17102.000,17501.221,-399.221,-397.766,-1.455,0
39.000,C43,259239.000,16666.000,17064.916,-398.916,-397.766,-1.150,0
39.000,E27,259239.000,12295.000,12704.285,-409.285,-397.766,-11.519,0
39.000,E33,259239.000,-10729.000,-10342.992,-386.008,-397.766,11.758,0
39.000,G02,259239.000,2903.000,3292.503,-389.503,-397.766,8.263,0
39.000,G06,259239.000,11923.000,12314.915,-391.915,-397.766,5.851,0
39.000,G07,259239.000,6977.000,7373.616,-396.616,-397.766,1.150,0
39.000,G09,259239.000,27926.000,28329.716,-403.716,-397.766,-5.950,0
39.000,G11,259239.000,-5053.000,-4668.523,-384.477,-397.766,13.289,0
39.000,G13,259239.000,-9880.000,-9477.599,-402.401,-397.766,-4.635,0
39.000,G15,259239.000,-6677.000,-6270.937,-406.063,-397.766,-8.297,0
39.000,G20,259239.000,22426.000,22821.217,-395.217,-397.766,2.549,0
40.000,C14,259240.000,17082.000,17480.729,-398.729,-397.593,-1.136,0
40.000,C43,259240.000,16645.000,17044.385,-399.385,-397.593,-1.792,0
40.000,E27,259240.000,12288.000,12696.344,-408.344,-397.593,-10.751,0
40.000,E33,259240.000,-10781.000,-10395.223,-385.777,-397.593,11.816,0
40.000,G02,259240.000,2856.000,3245.027,-389.027,-397.593,8.566,0
40.000,G06,259240.000,11881.000,12273.352,-392.352,-397.593,5.241,0
40.000,G07,259240.000,6944.000,7340.457,-396.457,-397.593,1.136,0
40.000,G09,259240.000,27907.000,28310.161,-403.161,-397.593,-5.568,0
40.000,G11,259240.000,-5109.000,-4724.676,-384.324,-397.593,13.269,0
40.000,G13,259240.000,-9899.000,-9496.008,-402.992,-397.593,-5.399,0
40.000,G15,259240.000,-6689.000,-6282.928,-406.072,-397.593,-8.479,0
40.000,G20,259240.000,22390.000,22784.500,-394.500,-397.593,3.093,0
41.000,C14,259241.000,17062.000,17460.207,-398.207,-397.247,-0.960,0
41.000,C43,259241.000,16625.000,17023.834,-398.834,-397.247,-1.586,0
41.000,E27,259241.000,12280.000,12688.391,-408.391,-397.247,-11.144,0
41.000,E33,259241.000,-10833.000,-10447.431,-385.569,-397.247,11.679,0
41.000,G02,259241.000,2809.000,3197.538,-388.538,-397.247,8.709,0
41.000,G06,259241.000,11840.000,12231.755,-391.755,-397.247,5.492,0
41.000,G07,259241.000,6911.000,7307.287,-396.287,-397.247,0.960,0
41.000,G09,259241.000,27888.000,28290.570,-402.570,-397.247,-5.323,0
41.000,G11,259241.000,-5165.000,-4780.818,-384.182,-397.247,13.065,0
41.000,G13,259241.000,-9917.000,-9514.411,-402.589,-397.247,-5.342,0
