gps_week,gps_sow,gps_datetime,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps,q,ns,rnorm_m
2296,259200.000,2024-01-10T00:00:00,-1215995.2382,-7135597.1611,-2072112.3643,3616.750030,3535.755810,-6544.946450,5,7,7529212.5030
2296,259210.000,2024-01-10T00:00:10,-1179827.7379,-7100239.6030,-2137561.8288,3263.246588,2668.478186,-6337.823169,5,8,7508299.8397
2296,259220.001,2024-01-10T00:00:20.001000,-1150727.0432,-7082224.9289,-2198875.1655,2762.709160,4238.420164,-3425.212609,5,8,7504474.3097
2296,259230.001,2024-01-10T00:00:30.001000,-1124570.7920,-7015466.9613,-2206069.5062,2785.403725,4279.696425,-3432.124580,5,7,7439635.6643
2296,259240.001,2024-01-10T00:00:40.001000,-1095018.9687,-6996631.0004,-2267517.6571,2959.890485,1910.621210,-6134.530460,5,7,7435963.1671
2296,259250.001,2024-01-10T00:00:50.001000,-1065372.9823,-6977254.5371,-2328760.1154,2969.276100,1964.576140,-6113.716150,5,7,7432376.7492
2296,259260.001,2024-01-10T00:01:00.001000,-1035633.4467,-6957339.4776,-2389791.9801,2978.509640,2018.340500,-6092.501365,5,7,7428877.0989
2296,259270.001,2024-01-10T00:01:10.001000,-1005802.7895,-6936887.7271,-2450610.1427,2987.590565,2071.889060,-6070.881175,5,7,7425465.6865
2296,259280.001,2024-01-10T00:01:20.001000,-975881.6354,-6915901.6964,-2511209.6036,2996.505095,2125.144610,-6048.835870,5,7,7422143.5525
2296,259290.001,2024-01-10T00:01:30.001000,-945872.6876,-6894384.8349,-2571586.8601,3005.223730,2178.167935,-6026.418235,5,7,7418913.4226
2296,259300.001,2024-01-10T00:01:40.001000,-915777.1608,-6872338.3377,-2631737.9683,3013.781825,2230.970700,-6003.562290,5,7,7415775.5339
2296,259310.001,2024-01-10T00:01:50.001000,-885597.0511,-6849765.4209,-2691658.1059,3022.149140,2283.483815,-5980.302180,5,7,7412731.7379
2296,259320.001,2024-01-10T00:02:00.001000,-855334.1780,-6826668.6614,-2751344.0119,3030.341455,2335.737915,-5956.636320,5,7,7409783.7648
2296,259330.001,2024-01-10T00:02:10.001000,-824990.2220,-6803050.6626,-2810790.8323,3038.348250,2387.743910,-5932.549655,5,7,7406932.7179
2296,259340.001,2024-01-10T00:02:20.001000,-794567.2130,-6778913.7832,-2869995.0050,3046.172055,2439.470255,-5908.069375,5,7,7404179.9320
2296,259350.001,2024-01-10T00:02:30.001000,-764066.7809,-6754261.2575,-2928952.2198,3053.810325,2490.911025,-5883.164110,5,7,7401527.1590
2296,259360.001,2024-01-10T00:02:40.001000,-733491.0065,-6729095.5627,-2987658.2872,3061.251875,2542.071180,-5857.848455,5,7,7398975.4824
2296,259370.001,2024-01-10T00:02:50.001000,-702841.7434,-6703419.8339,-3046109.1889,3068.505720,2592.955415,-5832.112700,5,7,7396526.5616
2296,259380.001,2024-01-10T00:03:00.001000,-672120.8921,-6677236.4544,-3104300.5412,3075.571415,2643.591035,-5805.960200,5,7,7394181.1590
2296,259390.001,2024-01-10T00:03:10.001000,-641330.3151,-6650548.0132,-3162228.3929,3082.463285,2693.950785,-5779.360795,5,7,7391940.3311
2296,259400.001,2024-01-10T00:03:20.001000,-610471.6264,-6623357.4387,-3219887.7571,3089.144265,2744.023380,-5752.365675,5,7,7389804.9051
2296,259410.001,2024-01-10T00:03:30.001000,-579547.4298,-6595667.5456,-3277275.7064,3095.623675,2793.841250,-5724.942155,5,7,7387776.5025
2296,259420.001,2024-01-10T00:03:40.001000,-548559.1529,-6567480.6137,-3334386.6002,4194.008450,-502.413290,-5391.466175,5,7,7385854.9102
2296,259430.001,2024-01-10T00:03:50.001000,-495667.2608,-6605715.8114,-3385105.0299,4225.403970,-478.108005,-5352.588045,5,8,7439092.9204
2296,259440.001,2024-01-10T00:04:00.001000,-464051.0735,-6577042.7738,-3441438.3611,3164.575610,2892.677355,-5618.316970,5,8,7437495.0783
2296,259450.001,2024-01-10T00:04:10.001000,-432375.7486,-6547862.2643,-3497471.3693,3170.367120,2943.230295,-5588.071905,5,8,7435977.0709
2296,259460.001,2024-01-10T00:04:20.001000,-400643.7311,-6518178.1679,-3553199.7992,3175.932260,2993.495140,-5557.404670,5,8,7434540.3920
2296,259470.001,2024-01-10T00:04:30.001000,-368857.1034,-6487992.3615,-3608619.4627,3181.316320,3043.471300,-5526.323850,5,8,7433184.7059
2296,259480.001,2024-01-10T00:04:40.001000,-337017.4047,-6457308.7419,-3663726.2762,3186.508945,3093.202855,-5494.703525,5,8,7431911.4060
2296,259490.001,2024-01-10T00:04:50.001000,-305126.9245,-6426128.3044,-3718513.5332,3191.486340,3142.716605,-5462.608190,5,8,7430718.0219
2296,259500.001,2024-01-10T00:05:00.001000,-273187.6779,-6394454.4098,-3772978.4400,3196.252755,3191.968555,-5430.106325,5,8,7429605.9798
2296,259510.001,2024-01-10T00:05:10.001000,-241201.8694,-6362288.9333,-3827115.6597,7590.595410,9520.005480,6471.756830,5,8,7428574.0950
2296,259520.001,2024-01-10T00:05:20.001000,-121375.7697,-6204054.3002,-3643543.3034,7502.813605,9435.227670,6294.642160,5,7,7195861.9804
2296,259530.001,2024-01-10T00:05:30.001000,-91145.5973,-6173584.3799,-3701222.8165,3025.400595,3072.260710,-5750.415505,5,7,7198645.8416
2296,259540.001,2024-01-10T00:05:40.001000,-60867.7578,-6142609.0860,-3758551.6135,3030.080665,3122.663235,-5715.139220,5,7,7201531.8856
2296,259550.001,2024-01-10T00:05:50.001000,-30543.9840,-6111131.1152,-3815525.6009,3034.562905,3172.875540,-5679.367830,5,7,7204518.8634
2296,259560.001,2024-01-10T00:06:00.001000,-176.4997,-6079151.5752,-3872138.9701,3038.912090,3222.859250,-5643.126120,5,7,7207603.2153
2296,259570.001,2024-01-10T00:06:10.001000,30234.2578,-6046673.9302,-3928388.1233,3043.118325,3272.548140,-5606.455265,5,7,7210784.4910
2296,259580.001,2024-01-10T00:06:20.001000,60685.8668,-6013700.6124,-3984268.0754,3047.140805,3322.012380,-5569.309250,5,7,7214060.5713
2296,259590.001,2024-01-10T00:06:30.001000,91177.0739,-5980233.6826,-4039774.3083,3051.008060,3371.208575,-5531.740040,5,7,7217429.2251
2296,259600.001,2024-01-10T00:06:40.001000,121706.0280,-5946276.4409,-4094902.8762,3054.709325,3420.140530,-5493.704180,5,7,7220889.5182
2296,259610.001,2024-01-10T00:06:50.001000,152271.2604,-5911830.8720,-4149648.3919,3058.306600,3468.838865,-5455.120085,5,7,7224438.5645
2296,259620.001,2024-01-10T00:07:00.001000,182872.1600,-5876899.6636,-4204005.2779,3061.753020,3517.209125,-5416.145700,5,7,7228073.8969
2296,259630.001,2024-01-10T00:07:10.001000,213506.3208,-5841486.6895,-4257971.3059,3065.028380,3565.326730,-5376.714295,5,7,7231795.8582
2296,259640.001,2024-01-10T00:07:20.001000,244172.7276,-5805593.1290,-4311539.5638,3068.181650,3613.206490,-5336.727705,5,7,7235599.8584
2296,259650.001,2024-01-10T00:07:30.001000,274869.9538,-5769222.5597,-4364705.8600,3071.184765,3660.754120,-5296.313855,5,7,7239484.7661
2296,259660.001,2024-01-10T00:07:40.001000,305596.4229,-5732378.0466,-4417465.8409,3074.064275,3708.031925,-5255.415305,5,7,7243448.8815
2296,259670.001,2024-01-10T00:07:50.001000,336351.2393,-5695061.9212,-4469814.1661,3076.831450,3755.028475,-5214.006155,5,7,7247489.2978
2296,259680.001,2024-01-10T00:08:00.001000,367133.0519,-5657277.4771,-4521745.9640,3079.445760,3801.727220,-5172.139570,5,7,7251604.0773
2296,259690.001,2024-01-10T00:08:10.001000,397940.1545,-5619027.3768,-4573256.9575,3081.953490,3848.110310,-5129.768060,5,7,7255791.0821
2296,259700.001,2024-01-10T00:08:20.001000,428772.1217,-5580315.2709,-4624341.3252,3084.338470,3894.189700,-5086.896115,5,7,7260047.9852
2296,259710.001,2024-01-10T00:08:30.001000,459626.9239,-5541143.5828,-4674994.8798,3086.588610,3940.009905,-5043.521965,5,7,7264372.3914
2296,259720.001,2024-01-10T00:08:40.001000,490503.8939,-5501515.0728,-4725211.7645,3088.734290,3985.467535,-4999.692780,5,7,7268761.1314
2296,259730.001,2024-01-10T00:08:50.001000,521401.6097,-5461434.2321,-4774988.7354,3090.773105,4030.619675,-4955.339240,5,7,7273213.9342
2296,259740.001,2024-01-10T00:09:00.001000,552319.3560,-5420902.6793,-4824318.5493,3092.689410,4075.493130,-4910.460375,5,7,7277725.7433
2296,259750.001,2024-01-10T00:09:10.001000,583255.3979,-5379924.3695,-4873197.9429,3094.476965,4119.984270,-4865.172275,5,7,7282295.7418
2296,259760.001,2024-01-10T00:09:20.001000,614208.8953,-5338502.9939,-4921621.9948,4452.194355,1052.385460,-7762.594695,5,7,7286921.8359
2296,259770.001,2024-01-10T00:09:30.001000,672299.2850,-5358876.6603,-5028449.8368,4442.714810,1114.158440,-7729.355060,5,6,7379353.1661
2296,259780.001,2024-01-10T00:09:40.001000,703063.1915,-5316219.8251,-5076209.0960,3076.931385,4287.070065,-4753.153690,5,6,7384063.2355
2296,259790.001,2024-01-10T00:09:50.001000,733837.9127,-5273135.2590,-5123512.9106,3077.472120,4308.456610,-4730.381460,5,6,7388833.3373
