utc_time,sat,constellation,jump_m,jump_cycles,dt_s
2026-06-24 04:59:25,C31,C,1.911,9.95,7
2026-06-24 05:02:20,C31,C,-0.098,-0.51,1
2026-06-24 05:02:21,C31,C,-0.215,-1.12,1
2026-06-24 05:02:23,C31,C,-0.157,-0.82,2
2026-06-24 05:02:28,C31,C,-0.099,-0.52,1
2026-06-24 05:03:11,C31,C,1.624,8.46,1
2026-06-24 05:03:15,C31,C,-0.081,-0.42,1
2026-06-24 05:12:49,C06,C,0.309,1.61,1
2026-06-24 05:12:49,C09,C,0.165,0.86,1
2026-06-24 05:12:49,C13,C,-0.243,-1.27,1
2026-06-24 05:12:49,C14,C,-0.314,-1.63,1
2026-06-24 05:12:49,C21,C,-0.125,-0.65,1
2026-06-24 05:12:49,C22,C,0.342,1.78,1
2026-06-24 05:12:49,C23,C,0.204,1.06,1
2026-06-24 05:12:49,C25,C,0.654,3.41,1
2026-06-24 05:12:49,C28,C,-0.377,-1.96,1
2026-06-24 05:12:49,C34,C,0.450,2.34,1
2026-06-24 05:12:49,C37,C,-0.311,-1.62,1
2026-06-24 05:12:49,C42,C,-0.450,-2.34,1
2026-06-24 05:12:49,E13,E,0.353,1.86,1
2026-06-24 05:12:49,E14,E,-0.719,-3.78,1
2026-06-24 05:12:49,E15,E,0.618,3.25,1
2026-06-24 05:12:49,E21,E,0.326,1.71,1
2026-06-24 05:12:49,E23,E,-0.203,-1.07,1
2026-06-24 05:12:49,E26,E,-0.148,-0.78,1
2026-06-24 05:12:49,E27,E,0.645,3.39,1
2026-06-24 05:12:49,E31,E,-0.453,-2.38,1
2026-06-24 05:12:49,E33,E,-0.426,-2.24,1
2026-06-24 05:12:49,G01,G,-0.553,-2.90,1
2026-06-24 05:12:49,G02,G,-0.374,-1.97,1
2026-06-24 05:12:49,G08,G,-0.286,-1.50,1
2026-06-24 05:12:49,G10,G,-0.108,-0.57,1
2026-06-24 05:12:49,G16,G,0.512,2.69,1
2026-06-24 05:12:49,G18,G,0.711,3.74,1
2026-06-24 05:12:49,G23,G,0.314,1.65,1
2026-06-24 05:12:49,G26,G,0.744,3.91,1
2026-06-24 05:12:49,G27,G,0.076,0.40,1
2026-06-24 05:40:06,E15,E,6.457,33.93,13
2026-06-24 05:44:15,G18,G,0.079,0.42,1
2026-06-24 05:44:19,G18,G,8.207,43.13,4
